point_index,deterministic_evaluation_count,detuning_n,detuning_rad_per_s,detuning_hz,detuning_mhz,linewidth_rad_per_s,model_state_count,cooling_power_w_per_beam,repump_power_w_per_beam,restoring_slope_x_n_per_m,restoring_slope_x_coarse_n_per_m,restoring_slope_x_relative_change,restoring_slope_x_numerical_uncertainty_n_per_m,restoring_slope_x_converged,turnaround_velocity_x_m_per_s,turnaround_velocity_x_coarse_m_per_s,turnaround_velocity_x_absolute_change_m_per_s,turnaround_velocity_x_numerical_uncertainty_m_per_s,turnaround_force_x_n,turnaround_x_interior,turnaround_x_converged,restoring_slope_y_n_per_m,restoring_slope_y_coarse_n_per_m,restoring_slope_y_relative_change,restoring_slope_y_numerical_uncertainty_n_per_m,restoring_slope_y_converged,turnaround_velocity_y_m_per_s,turnaround_velocity_y_coarse_m_per_s,turnaround_velocity_y_absolute_change_m_per_s,turnaround_velocity_y_numerical_uncertainty_m_per_s,turnaround_force_y_n,turnaround_y_interior,turnaround_y_converged,restoring_slope_z_n_per_m,restoring_slope_z_coarse_n_per_m,restoring_slope_z_relative_change,restoring_slope_z_numerical_uncertainty_n_per_m,restoring_slope_z_converged,turnaround_velocity_z_m_per_s,turnaround_velocity_z_coarse_m_per_s,turnaround_velocity_z_absolute_change_m_per_s,turnaround_velocity_z_numerical_uncertainty_m_per_s,turnaround_force_z_n,turnaround_z_interior,turnaround_z_converged,all_converged,point_wall_time_s
20,1,-1.5,-57208402.22187014,-9105000.000000002,-9.105000000000002,38138934.81458009,24,0.027,0.0001,-4.404568738927831e-19,-4.404788586876624e-19,4.991361511726475e-05,2.1984794879237994e-23,True,7.307009341244888,7.307967481398605,0.0009581401537168688,0.0009581401537168688,-1.5825940688863906e-20,True,True,-4.404568738927691e-19,-4.404788586876624e-19,4.991361514918613e-05,2.1984794893297282e-23,True,7.307009341244949,7.307967481398625,0.0009581401536760126,0.0009581401536760126,-1.582594068886387e-20,True,True,-8.808965671576795e-19,-8.80889033321286e-19,8.552464244320345e-06,7.533836393560589e-24,True,7.686199209021723,7.688054622918824,0.0018554138971014211,0.0018554138971014211,-5.918886285313089e-21,True,True,True,2.1744789000076707
21,1,-1.55,-59115348.96259914,-9408500.000000002,-9.408500000000002,38138934.81458009,24,0.027,0.0001,-4.361900346622409e-19,-4.362125453378482e-19,5.1607496316996794e-05,2.25106756073423e-23,True,7.529418060148046,7.530370757881928,0.0009526977338820686,0.0009526977338820686,-1.6005992456512403e-20,True,True,-4.361900346622411e-19,-4.362125453378472e-19,5.1607496314126796e-05,2.2510675606090446e-23,True,7.529418060148119,7.530370757881954,0.0009526977338349951,0.0009526977338349951,-1.6005992456512406e-20,True,True,-8.723634598250567e-19,-8.723586910854374e-19,5.4664596109600355e-06,4.76873961921103e-24,True,7.8927146192585464,7.89325721329252,0.000542594033973387,0.000542594033973387,-6.0480843900022415e-21,True,True,True,2.203558699984569
22,1,-1.6,-61022295.70332815,-9712000.000000002,-9.712000000000002,38138934.81458009,24,0.027,0.0001,-4.3157912446430534e-19,-4.316021105911326e-19,5.3260515915311735e-05,2.298612682724744e-23,True,7.753000865849303,7.7539517576532795,0.0009508918039768943,0.0009508918039768943,-1.6176956526896533e-20,True,True,-4.315791244643347e-19,-4.316021105911313e-19,5.32605158442425e-05,2.2986126796577004e-23,True,7.753000865849341,7.753951757653279,0.0009508918039378145,0.0009508918039378145,-1.617695652689655e-20,True,True,-8.631421962490944e-19,-8.631400488141719e-19,2.4879271710166284e-06,2.147434922499089e-24,True,8.100711407149456,8.101263573704422,0.0005521665549661492,0.0005521665549661492,-6.173963102999664e-21,True,True,True,2.1855247000057716
23,1,-1.6500000000000001,-62929242.44405715,-10015500.0,-10.015500000000001,38138934.81458009,24,0.027,0.0001,-4.2666660792168976e-19,-4.266900198318536e-19,5.48716720014233e-05,2.3411910163838838e-23,True,7.977638650871341,7.978591094047004,0.0009524431756631202,0.0009524431756631202,-1.633950994110791e-20,True,True,-4.2666660792164137e-19,-4.2669001983185336e-19,5.4871672114277e-05,2.3411910211987087e-23,True,7.97763865087133,7.978591094047017,0.000952443175687101,0.000952443175687101,-1.6339509941107898e-20,True,True,-8.533177040730193e-19,-8.533180308680918e-19,3.8296998981421726e-07,3.267950724371355e-25,True,8.310176807062975,8.31161582586376,0.0014390188007844529,0.0014390188007844529,-6.296648206199252e-21,True,True,True,2.210316500015324
24,1,-1.7000000000000002,-64836189.18478616,-10319000.000000002,-10.319000000000003,38138934.81458009,24,0.027,0.0001,-4.2149133156046503e-19,-4.215151205243104e-19,5.643998361086981e-05,2.3788963845396338e-23,True,8.203223414108367,8.204180507415089,0.0009570933067220011,0.0009570933067220011,-1.6494265642503833e-20,True,True,-4.2149133156046503e-19,-4.215151205243183e-19,5.643998362960403e-05,2.378896385329265e-23,True,8.203223414108361,8.204180507415085,0.0009570933067237775,0.0009570933067237775,-1.649426564250384e-20,True,True,-8.429676751389358e-19,-8.429703273348421e-19,3.146260508580938e-06,2.652195906299919e-24,True,8.521889235723933,8.523303016871369,0.0014137811474359552,0.0014137811474359552,-6.41620804307606e-21,True,True,True,2.1888513999874704
25,1,-1.75,-66743135.92551516,-10622500.0,-10.6225,38138934.81458009,24,0.027,0.0001,-4.1608880360322726e-19,-4.161129219894706e-19,5.7964516311147295e-05,2.411838624334503e-23,True,8.429759921710364,8.4306220001031,0.0008620783927355546,0.0008620783927355546,-1.6641815588227275e-20,True,True,-4.1608880360322726e-19,-4.161129219894414e-19,5.7964516241023226e-05,2.411838621416719e-23,True,8.429759921710366,8.430622000103117,0.0008620783927515419,0.0008620783927515419,-1.6641815588227287e-20,True,True,-8.321631250211013e-19,-8.321679533721806e-19,5.80216899071368e-06,4.828351079212826e-24,True,8.734864512246793,8.736254683453575,0.0013901712067827532,0.0013901712067827532,-6.5327500774575725e-21,True,True,True,2.190955300000496
26,1,-1.8,-68650082.66624416,-10926000.0,-10.926000000000002,38138934.81458009,24,0.027,0.0001,-4.104914542882386e-19,-4.10515855707777e-19,5.944440324757912e-05,2.4401419538395246e-23,True,8.657284577989621,8.65782696568114,0.0005423876915191528,0.0005423876915191528,-1.6782584476327472e-20,True,True,-4.104914542882536e-19,-4.105158557077767e-19,5.9444403210277404e-05,2.4401419523084103e-23,True,8.657284577989595,8.657826965681117,0.0005423876915227055,0.0005423876915227055,-1.6782584476327448e-20,True,True,-8.209689136160185e-19,-8.209757696221672e-19,8.351115413742096e-06,6.856006148701835e-24,True,8.949034129784176,8.950402237529063,0.0013681077448879364,0.0013681077448879364,-6.646366188622545e-21,True,True,True,2.1751465999986976
27,1,-1.85,-70557029.40697317,-11229500.0,-11.229500000000002,38138934.81458009,24,0.027,0.0001,-4.0472887760501806e-19,-4.0475351703957233e-19,6.087886463669548e-05,2.4639434554277588e-23,True,8.885527293468314,8.88571533966917,0.0001880462008561068,0.0001880462008561068,-1.6917060813163932e-20,True,True,-4.047288776050187e-19,-4.0475351703957257e-19,6.0878864635743674e-05,2.4639434553892402e-23,True,8.885527293468314,8.885715339669176,0.00018804620086143586,0.00018804620086143586,-1.6917060813163914e-20,True,True,-8.094442285721867e-19,-8.094529654818494e-19,1.0793714198349408e-05,8.736909662711596e-24,True,9.164804542219931,9.165679299921655,0.0008747577017231833,0.0008747577017231833,-6.757152958230817e-21,True,True,True,2.2031732999894302
28,1,-1.9000000000000001,-72463976.14770217,-11533000.0,-11.533000000000001,38138934.81458009,24,0.027,0.0001,-3.988280554062364e-19,-3.9885288931962674e-19,6.226721779900212e-05,2.483391339033261e-23,True,9.114415155936053,9.114452010731263,3.685479521031709e-05,3.685479521031709e-05,-1.704565972731484e-20,True,True,-3.9882805540626535e-19,-3.9885288931962674e-19,6.226721772644228e-05,2.4833913361395512e-23,True,9.114415155936028,9.114452010731245,3.685479521742252e-05,3.685479521742252e-05,-1.7045659727314876e-20,True,True,-7.976430334741831e-19,-7.976535071391086e-19,1.3130767130100098e-05,1.0473664925496137e-23,True,9.381869076137756,9.38202195589924,0.00015287976148492533,0.00015287976148492533,-6.865161741623002e-21,True,True,True,2.2138632999849506
29,1,-1.9500000000000002,-74370922.88843118,-11836500.0,-11.836500000000001,38138934.81458009,24,0.027,0.0001,-3.9281356488050667e-19,-3.9283855131543133e-19,6.360889021806511e-05,2.4986434924650944e-23,True,9.343882305853253,9.34402337081238,0.00014106495912713513,0.00014106495912713513,-1.716875940729946e-20,True,True,-3.928135648804746e-19,-3.9283855131543133e-19,6.360889029970377e-05,2.4986434956717678e-23,True,9.34388230585325,9.344023370812366,0.00014106495911647698,0.00014106495911647698,-1.716875940729944e-20,True,True,-7.856144827555251e-19,-7.8562655235395e-19,1.536325855728661e-05,1.2069598424922115e-23,True,9.599933415589957,9.600306439778397,0.0003730241884394303,0.0003730241884394303,-6.97048052241711e-21,True,True,True,2.191652099980274
