coordinate_m,force_x_n,reference_shift_x_hz,force_y_n,reference_shift_y_hz,force_z_n,reference_shift_z_hz
0.001,-6.136060067811828e-22,-7868131.298644483,-6.136060067811798e-22,-7868131.298644486,-6.136060067811806e-22,-7868131.298644486
0.0010500000000000002,-7.319914230539975e-22,-7266076.529404138,-7.319914230539975e-22,-7266076.529404139,-7.3199142305399595e-22,-7266076.529404142
0.0011000000000000003,-8.54313627874368e-22,-6661537.621072824,-8.543136278743687e-22,-6661537.621072824,-8.543136278743687e-22,-6661537.621072826
0.00115,-9.791185215031014e-22,-6056403.521264986,-9.791185215031014e-22,-6056403.521264987,-9.791185215031014e-22,-6056403.521264986
0.0012000000000000001,-1.1049725964336844e-21,-5452472.313886219,-1.1049725964336844e-21,-5452472.313886219,-1.1049725964336837e-21,-5452472.313886219
0.0012500000000000002,-1.2305028561013835e-21,-4851440.159164292,-1.2305028561013835e-21,-4851440.159164292,-1.2305028561013828e-21,-4851440.159164292
0.0013,-1.3544373516559231e-21,-4254891.789794948,-1.3544373516559239e-21,-4254891.789794948,-1.3544373516559246e-21,-4254891.789794948
0.00135,-1.4756477852820023e-21,-3664292.604345205,-1.475647785282003e-21,-3664292.604345202,-1.4756477852820047e-21,-3664292.6043452015
0.0014000000000000002,-1.5931904981624204e-21,-3080982.37410964,-1.5931904981624204e-21,-3080982.37410964,-1.5931904981624219e-21,-3080982.3741096393
0.0014500000000000003,-1.706344754777663e-21,-2506170.555653447,-1.706344754777662e-21,-2506170.5556534454,-1.706344754777662e-21,-2506170.5556534454
0.0015,-1.8146517727856063e-21,-1940933.1786905131,-1.8146517727856048e-21,-1940933.178690512,-1.814651772785604e-21,-1940933.1786905124
0.0015500000000000002,-1.9179390716621705e-21,-1386211.2580772087,-1.9179390716621697e-21,-1386211.258077208,-1.9179390716621705e-21,-1386211.258077208
0.0016000000000000003,-2.0163040143544283e-21,-842810.6598412975,-2.0163040143544283e-21,-842810.6598412975,-2.01630401435443e-21,-842810.6598412975
0.00165,-2.1100526424954123e-21,-311403.3345407603,-2.1100526424954115e-21,-311403.3345407592,-2.1100526424954115e-21,-311403.33454076084
0.0017000000000000001,-2.199610834967733e-21,207470.18296671676,-2.199610834967733e-21,207470.18296671784,-2.1996108349677344e-21,207470.18296671892
0.0017500000000000003,-2.2854313912622113e-21,713397.1199556829,-2.285431391262212e-21,713397.119955685,-2.2854313912622135e-21,713397.1199556862
0.0018,-2.367918005082756e-21,1206087.7801938674,-2.367918005082756e-21,1206087.7801938674,-2.3679180050827575e-21,1206087.7801938665
0.00185,-2.4473779415287693e-21,1685369.954499749,-2.44737794152877e-21,1685369.954499749,-2.44737794152877e-21,1685369.95449975
0.0019000000000000002,-2.5240041373679044e-21,2151182.559782513,-2.524004137367905e-21,2151182.5597825143,-2.5240041373679066e-21,2151182.5597825143
0.0019500000000000003,-2.5978795688382583e-21,2603568.6404469074,-2.597879568838259e-21,2603568.6404469074,-2.5978795688382587e-21,2603568.6404469074
0.002,-2.668994086825419e-21,3042667.8653642135,-2.6689940868254198e-21,3042667.8653642135,-2.668994086825419e-21,3042667.8653642135
