time_s,x_m,y_m,z_m,vx_m_per_s,vy_m_per_s,vz_m_per_s,fx_n,fy_n,fz_n,kernel_ground_weighted_absorption_rate_per_s,beff_x_t,beff_y_t,beff_z_t,quantization_x,quantization_y,quantization_z,reference_scalar_shift_hz,reference_vector_shift_hz,reference_tensor_shift_hz,reference_total_shift_hz,trap_component_00_atom_frame_frequency_hz,trap_component_00_atom_frame_wavelength_nm,trap_component_01_atom_frame_frequency_hz,trap_component_01_atom_frame_wavelength_nm,trap_component_02_atom_frame_frequency_hz,trap_component_02_atom_frame_wavelength_nm,trap_component_03_atom_frame_frequency_hz,trap_component_03_atom_frame_wavelength_nm,trap_component_04_atom_frame_frequency_hz,trap_component_04_atom_frame_wavelength_nm,trap_component_05_atom_frame_frequency_hz,trap_component_05_atom_frame_wavelength_nm
9.499999999999999e-05,0.0009815316234444435,0.0,-3.469890580031441e-08,-0.35134874811057615,0.0,-0.0006015182032119772,-4.410604083705701e-22,0.0,8.78630097104641e-25,71065209.87216164,0.00019998246433096574,0.0,2.9282569189139887e-09,0.9999999998927975,0.0,1.4642568429169289e-05,-12866253.312855832,2798959.989220338,1976028.8093339826,-8091264.514301511,196036460347844.28,1529.268879207738,196036459888345.3,1529.2688827922625,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118488.12,1529.2688809969318,196036460117701.5,1529.2688810030684
9.999999999999999e-05,0.0009796984744309505,0.0,-3.7799457220851516e-08,-0.3666298026985959,0.0,-0.000620110284107421,-4.317577719590556e-22,0.0,9.00980297408841e-25,71085907.12207389,0.00019958715508656632,0.0,3.1919047084729462e-09,0.9999999998721194,0.0,1.599253572545963e-05,-12876615.941448426,2793427.230382743,1969911.3440291681,-8113277.367036515,196036460357836.7,1529.2688791297878,196036459878352.94,1529.2688828702123,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118500.3,1529.2688809968367,196036460117689.3,1529.2688810031634
0.00010499999999999999,0.0009777905316482038,0.0,-4.098909730149228e-08,-0.38158855654930396,0.0,-0.0006379280161281529,-4.225026526140645e-22,0.0,9.217211002574545e-25,71107072.74058418,0.00019917624134677638,0.0,3.4649878407965194e-09,0.9999999998486793,0.0,1.7396592168036084e-05,-12887400.602426013,2787676.0706123253,1963548.3992026849,-8136176.132611002,196036460367618.34,1529.2688790534817,196036459868571.28,1529.2688829465185,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118511.94,1529.268880996746,196036460117677.7,1529.2688810032541
0.00010999999999999999,0.0009758093983684681,0.0,-4.426423309516512e-08,-0.3962266559471403,0.0,-0.0006550271587345689,-4.133025113680306e-22,0.0,9.40935585996483e-25,71128680.29080358,0.00019875007218925225,0.0,3.7474634056610744e-09,0.9999999998222415,0.0,1.8855154937637208e-05,-12898597.780185182,2781711.3956100154,1956945.7534689493,-8159940.631106218,196036460377190.3,1529.2688789788115,196036459858999.3,1529.2688830211887,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118523.12,1529.268880996659,196036460117666.5,1529.2688810033412
0.00011499999999999999,0.0009737566683401043,0.0,-4.7621536060020826e-08,-0.4105460056727548,0.0,-0.0006714605929711414,-4.0416437905727534e-22,0.0,9.587024781261462e-25,71150703.29507324,0.0001983089945035648,0.0,4.039295055141632e-09,0.9999999997925582,0.0,2.0368693131723294e-05,-12910197.989525354,2775538.060452264,1950109.165686274,-8184550.763386816,196036460386553.84,1529.268878905767,196036459849635.78,1529.2688830942332,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118533.88,1529.268880996575,196036460117655.75,1529.2688810034251
0.00011999999999999999,0.0009716339245696125,0.0,-5.105792842209306e-08,-0.42454875409835896,0.0,-0.0006872784724144469,-3.950948657276735e-22,0.0,9.750963425423271e-25,71173115.26271553,0.00019785335289359632,0.0,4.3404449461348115e-09,0.9999999997593689,0.0,2.1937687087995e-05,-12922191.783892186,2769160.8882249864,1943044.3708621196,-8209986.524805079,196036460395710.34,1529.2688788343378,196036459840479.3,1529.2688831656624,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118544.25,1529.268880996494,196036460117645.4,1529.2688810035058
0.000125,0.0009694427381765677,0.0,-5.4570570258184246e-08,-0.43823727860894796,0.0,-0.0007025283672182384,-3.8610017072182205e-22,0.0,9.901876456146132e-25,71195889.7215394,0.00019738348925283625,0.0,4.6508925360970645e-09,0.999999999722399,0.0,2.3562723267337022e-05,-12934569.760316603,2762584.6640793975,1935757.0756278825,-8236228.020609323,196036460404661.34,1529.2688787645116,196036459831528.28,1529.2688832354888,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118554.22,1529.268880996416,196036460117635.44,1529.2688810035836
0.00013000000000000002,0.0009671846673197026,0.0,-5.8156847288915934e-08,-0.4516141713730041,0.0,-0.0007172554061463371,-3.771860931659516e-22,0.0,1.0040429179190085e-24,71219000.24491556,0.00019689974261382677,0.0,4.970633509346201e-09,0.9999999996813579,0.0,2.5244489615769048e-05,-12947322.567065524,2755814.1331248493,1928252.9547765178,-8263255.479164157,196036460413408.6,1529.2688786962747,196036459822781.03,1529.2688833037255,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118563.84,1529.2688809963413,196036460117625.78,1529.2688810036589
0.00013500000000000003,0.00096486125619232,0.0,-6.181435935358e-08,-0.46468222547653226,0.0,-0.0007315024129328128,-3.683580435174949e-22,0.0,1.0167247735336124e-24,71242420.47663933,0.00019640244891265649,0.0,5.2997057297965585e-09,0.9999999996359343,0.0,2.6983908587738574e-05,-12960440.908548746,2748853.9971326888,1920537.6463735462,-8291049.26504251,196036460421953.88,1529.2688786296135,196036459814235.75,1529.2688833703867,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118573.16,1529.2688809962685,196036460117616.47,1529.2688810037316
0.00014000000000000004,0.0009624740340850341,0.0,-6.55409095634482e-08,-0.4774444214571738,0.0,-0.000745310041973641,-3.5962105505195055e-22,0.0,1.0282924373278498e-24,71266124.15815146,0.00019589194068548446,0.0,5.6381211287806736e-09,0.9999999995858041,0.0,2.8781792179483833e-05,-12973915.550049862,2741708.910288782,1912616.7493225413,-8319589.890438538,196036460430299.2,1529.268878564512,196036459805890.44,1529.268883435488,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118582.16,1529.2688809961983,196036460117607.44,1529.268881003802
0.00014500000000000006,0.0009600245145138526,0.0,-6.933449404219725e-08,-0.48990391423629676,0.0,-0.0007587168957498097,-3.5097979592802485e-22,0.0,1.038801491506359e-24,71290085.14853656,0.00019536854706835816,0.0,5.985938854407935e-09,0.9999999995306191,0.0,3.063921466081134e-05,-12987737.324881118,2734383.4791909913,1904495.8195207827,-8348858.026169344,196036460438446.53,1529.2688785009552,196036459797743.1,1529.268883499045,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118590.97,1529.2688809961296,196036460117598.7,1529.2688810038703
0.00015000000000000007,0.0009575141944115071,0.0,-7.319329229735579e-08,-0.5020640204690966,0.0,-0.0007717596510317074,-3.4243858165226827e-22,0.0,1.0483043663080456e-24,71314277.44992968,0.00019483259337313923,0.0,6.343203885310103e-09,0.9999999994700143,0.0,3.255720088784081e-05,-13001897.13581837,2726882.256913804,1896180.3668652927,-8378834.512039274,196036460446398.1,1529.2688784389256,196036459789791.53,1529.2688835610745,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118599.5,1529.268880996063,196036460117590.16,1529.2688810039367
0.00015500000000000008,0.0009549445533798744,0.0,-7.711565813776913e-08,-0.5139282063265491,0.0,-0.0007844731680826694,-3.340013872101556e-22,0.0,1.0568502238101092e-24,71338675.22816965,0.00019428440100537897,0.0,6.709993587115079e-09,0.9999999994035991,0.0,3.4536965131479906e-05,-13016385.961911935,2719209.741858934,1887675.8522584415,-8409500.36779456,196036460454156.22,1529.268878378405,196036459782033.44,1529.268883621595,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118607.8,1529.2688809959982,196036460117581.84,1529.2688810040017
0.0001600000000000001,0.0009523170530013861,0.0,-8.110011115721048e-08,-0.5255000756976592,0.0,-0.0007968906038882689,-3.2567186015809537e-22,0.0,1.0644853258317278e-24,71363252.82849672,0.00019372428745796245,0.0,7.0863764831530075e-09,0.9999999993309628,0.0,3.657970082842441e-05,-13031194.862334618,2711370.3776663514,1878987.6848058025,-8440836.799862465,196036460461723.12,1529.2688783193757,196036459774466.5,1529.2688836806242,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118615.9,1529.268880995935,196036460117573.72,1529.2688810040652
0.0001650000000000001,0.0009496331362071597,0.0,-8.514532872040624e-08,-0.5367833588452967,0.0,-0.000809043512639154,-3.174533328582974e-22,0.0,1.0712529107495927e-24,71387984.79928821,0.0001931525659364137,0.0,7.472459193650532e-09,0.9999999992516648,0.0,3.868682329862798e-05,-13046314.979538636,2703368.5479700663,1870121.2194865786,-8472825.21208199,196036460469101.34,1529.2688782618188,196036459767088.28,1529.2688837381813,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118623.88,1529.268880995873,196036460117565.75,1529.2688810041275
