axis,coordinate_m,coordinate_mm,quantization_axis_x,quantization_axis_y,quantization_axis_z,total_intensity_w_per_m2,total_intensity_per_watt_path_m_inv2,scalar_shift_hz,vector_shift_hz,tensor_shift_hz,total_shift_hz,scalar_shift_hz_per_watt_path,vector_shift_hz_per_watt_path,tensor_shift_hz_per_watt_path,total_shift_hz_per_watt_path,bare_stretched_transition_frequency_hz,shifted_stretched_transition_frequency_hz,fixed_carrier_effective_detuning_hz,center_compensated_effective_detuning_hz
x,-0.0017100000000000001,-1.7100000000000002,1.0,0.0,0.0,17205.63914762545,449298.0809282031,-9128354.634390151,-5079347.625364624,4358709.316057795,-9848992.943696983,-238372558.2103465,-132639137.71889777,113820806.90091196,-257190889.02833238,384228115000000.0,384228105151007.06,-5151007.056303017,-21490698.48399698
x,-0.0017000000000000001,-1.7000000000000002,1.0,0.0,0.0,17280.73605064109,451259.11789515795,-9168196.871972227,-5046098.126180237,4329568.9293283895,-9884726.068824077,-239412975.29290414,-131770879.58287668,113059851.7441351,-258124003.1316458,384228115000000.0,384228105115273.94,-5115273.931175923,-21454965.358869888
x,-0.00169,-1.6900000000000002,1.0,0.0,0.0,17356.648530670183,453241.4523671836,-9208471.809330612,-5012914.693578097,4300276.918345539,-9921109.584563171,-240464691.64644185,-130904346.67126383,112294937.15955025,-259074101.15815544,384228115000000.0,384228105078890.44,-5078890.4154368285,-21418581.84313079
x,-0.00168,-1.6800000000000002,1.0,0.0,0.0,17433.3720593613,455244.9660935374,-9249177.043974048,-4979796.825692526,4270834.281014744,-9958139.588651828,-241527644.53369635,-130039525.87863001,111526089.20588288,-260041081.20644346,384228115000000.0,384228105041860.44,-5041860.4113481715,-21381551.839042135
x,-0.00167,-1.6700000000000002,1.0,0.0,0.0,17510.901863480463,457269.534428756,-9290310.043490207,-4946744.022878889,4241242.081881862,-9995811.984487236,-242601767.82472107,-129176404.15754505,110753335.68206601,-261024836.30020013,384228115000000.0,384228105004188.0,-5004188.015512764,-21343879.443206728
x,-0.00166,-1.66,1.0,0.0,0.0,17589.232922902287,459315.0262801968,-9331868.144479938,-4913755.7876935,4211501.452656214,-10034122.479517221,-243686991.96905535,-128314968.51805303,109976706.14090042,-262025254.34620792,384228115000000.0,384228104965877.5,-4965877.520482779,-21305568.94817674
x,-0.00165,-1.65,1.0,0.0,0.0,17668.359968678455,461381.30405759957,-9373848.551532485,-4880831.624873769,4181613.592713387,-10073066.583692865,-244783243.9689642,-127455206.02715397,109196231.90218455,-263042218.09393358,384228115000000.0,384228104926933.44,-4926933.416307135,-21266624.8440011
x,-0.00164,-1.64,1.0,0.0,0.0,17748.277481185527,463468.2236247194,-9416248.33624281,-4847971.041318461,4151579.7695770245,-10112639.607984243,-245890447.35377696,-126597103.80828823,108411946.06529559,-264075605.0967695,384228115000000.0,384228104887360.4,-4887360.392015757,-21227051.81970972
x,-0.00163,-1.63,1.0,0.0,0.0,17828.979688354066,465575.63425308303,-9459064.436272088,-4815173.546068075,4121401.3193791457,-10152836.662961021,-247008522.15535384,-125740649.04082416,107623883.52121012,-265125287.67496797,384228115000000.0,384228104847163.3,-4847163.337038979,-21186854.764732942
x,-0.00162,-1.6199999999999999,1.0,0.0,0.0,17910.46056398126,467703.3785779256,-9502293.654452473,-4782438.650285413,4091079.6472984343,-10193652.657439452,-248137384.88470814,-124885828.9595507,106832080.96394923,-266191132.8803096,384228115000000.0,384228104806347.3,-4806347.342560548,-21146038.77025451
