axis_pair,quantization_axis,coordinate_m,coordinate_mm,scalar_shift_hz,vector_shift_hz,tensor_shift_hz,scalar_plus_tensor_shift_hz,total_shift_hz,scalar_shift_hz_per_watt_path,vector_shift_hz_per_watt_path,tensor_shift_hz_per_watt_path,total_shift_hz_per_watt_path
y,y,-0.00048,-0.48000000000000004,-5484355.395910376,-1349831.4121332597,5484287.934948842,-67.46096153371036,-1349898.8730947934,-143215275.72260162,-35248714.554831274,143213514.08618146,-35250476.19125144
y,y,-0.000475,-0.475,-5483569.219088847,-1335642.8171506505,5483501.767797774,-67.45129107311368,-1335710.2684417237,-143194745.95708972,-34878201.815254636,143192984.57319835,-34879963.199146
y,y,-0.00047,-0.47,-5482791.397891106,-1321458.2563103763,5482723.956167715,-67.44172339141369,-1321525.6980337678,-143174434.38549092,-34507794.420931004,143172673.25144446,-34509555.554977484
y,y,-0.000465,-0.465,-5482021.928396106,-1307277.6862036139,5481954.496137664,-67.43225844204426,-1307345.118462056,-143154340.90541324,-34137491.238307565,143152580.01852897,-34139252.12519184
y,y,-0.00046,-0.46,-5481260.806725562,-1293101.0634517213,5481193.383829388,-67.42289617378265,-1293168.486347895,-143134465.41558143,-33767291.13461961,143132704.773178,-33769051.77702305
y,y,-0.000455,-0.455,-5480508.0290439315,-1278928.3447059682,5480440.615407389,-67.4136365428567,-1278995.758342511,-143114807.81583637,-33397192.977883544,143113047.41523358,-33398953.37848635
y,y,-0.00045,-0.45,-5479763.591558348,-1264759.486647158,5479696.187078847,-67.40447950176895,-1264826.8911266597,-143095368.00713333,-33027195.636886995,143093607.8456522,-33028955.79836814
y,y,-0.00044500000000000003,-0.445,-5479027.490518596,-1250594.4459853033,5478960.095093593,-67.39542500302196,-1250661.8414103063,-143076145.89154133,-32657297.981180344,143074385.96650413,-32659057.90621756
y,y,-0.00044,-0.44,-5478299.722217068,-1236433.1794593297,5478232.335744064,-67.38647300377488,-1236500.5659323335,-143057141.3722421,-32287498.881068982,143055381.6809722,-32289258.57233888
y,y,-0.000435,-0.435,-5477580.282988723,-1222275.6438366827,5477512.905365268,-67.37762345559895,-1222343.0214601383,-143038354.35352883,-31917797.207603056,143036594.8933509,-31919556.667780984
y,y,-0.00043,-0.43,-5476869.1692110505,-1208121.7959130416,5476801.800334733,-67.36887631751597,-1208189.164789359,-143019784.74080545,-31548191.832569998,143018025.50904518,-31549951.06433024
y,y,-0.00042500000000000003,-0.42500000000000004,-5476166.377304031,-1193971.5925119538,5476099.017072488,-67.36023154295981,-1194038.9527434967,-143001432.44058535,-31178681.628484964,142999673.43456972,-31180440.634500578
y,y,-0.00042,-0.42000000000000004,-5475471.903730098,-1179824.9904845348,5475404.552041009,-67.35168908908963,-1179892.3421736239,-142983297.36049062,-30809265.468583018,142981538.57754767,-30811024.251525946
y,y,-0.000415,-0.415,-5474785.7449940955,-1165681.946709117,5474718.401745184,-67.34324891120195,-1165749.2899580281,-142965379.40925074,-30439942.22680994,142963620.8467097,-30441700.789350957
y,y,-0.00041,-0.41,-5474107.897643252,-1151542.4180909302,5474040.562732282,-67.33491097018123,-1151609.7530019004,-142947678.49670205,-30070710.777813904,142945920.1518932,-30072469.122622766
y,y,-0.000405,-0.40499999999999997,-5473438.358267138,-1137406.36156175,5473371.031591915,-67.32667522318661,-1137473.6882369732,-142930194.5337866,-29701569.99693627,142928436.40404123,-29703328.12668161
y,y,-0.0004,-0.4,-5472777.123497625,-1123273.7340795975,5472709.804955999,-67.31854162551463,-1123341.052621223,-142912927.432551,-29332518.760203768,142911169.5152017,-29334276.677553058
y,y,-0.000395,-0.395,-5472124.190008858,-1109144.4926283946,5472056.879498718,-67.31051013991237,-1109211.8031385345,-142895877.10614583,-28963555.94431949,142894119.39852607,-28965313.65193922
y,y,-0.00039,-0.39,-5471479.554517213,-1095018.5942176245,5471412.251936488,-67.30258072540164,-1095085.89679835,-142879043.4688244,-28594680.42665401,142877285.9682688,-28596437.927209612
y,y,-0.00038500000000000003,-0.385,-5470843.213781275,-1080895.995882025,5470775.919027934,-67.29475334100425,-1080963.290635366,-142862426.4359423,-28225891.085237395,142860669.13978648,-28227648.38139322
y,y,-0.00038,-0.38,-5470215.164601784,-1066776.654681229,5470147.877573837,-67.28702794760466,-1066843.9417091766,-142846025.92395595,-27857186.79874981,142844268.82953656,-27858943.893169194
y,y,-0.000375,-0.375,-5469595.403821617,-1052660.527699479,5469528.124417109,-67.27940450794995,-1052727.8071039869,-142829841.850422,-27488566.446514044,142828084.9550767,-27490323.341859348
y,y,-0.00037,-0.37,-5468983.928325749,-1038547.572045262,5468916.656442769,-67.27188298013061,-1038614.8439282421,-142813874.13399655,-27120028.90848602,142812117.43506405,-27121785.607418507
y,y,-0.000365,-0.365,-5468380.735041222,-1024437.744850995,5468313.470577892,-67.26446332968771,-1024505.0093143247,-142798122.6944341,-26751573.06524653,142796366.18925405,-26753329.57042657
y,y,-0.00035999999999999997,-0.36,-5467785.820937108,-1010331.0032726964,5467718.563791589,-67.25714551936835,-1010398.2604182158,-142782587.45258683,-26383197.797992688,142780831.13849983,-26384954.112079673
y,y,-0.000355,-0.355,-5467199.183024481,-996227.3044896703,5467131.933094972,-67.24992950912565,-996294.5544191794,-142767268.3304036,-26014901.988529686,142765512.2047513,-26016658.114181966
y,y,-0.00035,-0.35,-5466620.818356392,-982126.6057041595,5466553.575541125,-67.24281526729465,-982193.8485194268,-142752165.2509295,-25646684.51926171,142750409.3110544,-25648440.459136803
y,y,-0.00034500000000000004,-0.34500000000000003,-5466050.724027814,-968028.8641410321,5465983.48822506,-67.23580275475979,-968096.0999437869,-142737278.13830438,-25278544.273183778,142735522.38154995,-25280300.029938187
y,y,-0.00034,-0.34,-5465488.897175645,-953934.0370474681,5465421.668283708,-67.22889193706214,-954001.2659394052,-142722606.91776282,-24910480.133873552,142720851.3414735,-24912235.710162874
y,y,-0.000335,-0.335,-5464935.334978651,-939842.0816925922,5464868.112895872,-67.22208277881145,-939909.303775371,-142708151.51563272,-24542490.98548173,142706396.11715382,-24544246.383960646
y,y,-0.00033,-0.33,-5464390.034657443,-925752.9553671917,5464322.819282195,-67.21537524834275,-925820.17074244,-142693911.8593348,-24174575.712724708,142692156.63601243,-24176330.936047066
