axis,speed_m_per_s,pair_scalar_shift_hz,pair_vector_shift_hz,pair_tensor_shift_hz,pair_scalar_plus_tensor_shift_hz,pair_total_shift_hz
x,-15.75,-5448683.114541811,-98544.69172735047,5447222.485609428,-1460.6289323829114,-100005.32065973338
x,-15.625,-5448649.587495764,-97761.89600352477,5447211.006382743,-1438.5811130208895,-99200.47711654566
x,-15.5,-5448616.060937973,-96979.10056674853,5447199.527325146,-1416.533612826839,-98395.63417957537
x,-15.375,-5448583.411042837,-96196.88607226405,5447188.34767374,-1395.0633690971881,-97591.94944136124
x,-15.25,-5448550.972587398,-95414.81139968801,5447177.2402366735,-1373.7323507247493,-96788.54375041276
x,-15.125,-5448518.534143528,-94632.73700598814,5447166.132803567,-1352.4013399612159,-95985.13834594935
x,-15.0,-5448486.095455917,-93850.66246902291,5447155.02528605,-1331.0701698670164,-95181.73263888992
x,-14.875,-5448453.941720601,-93068.39948099852,5447144.015578266,-1309.926142334938,-94378.32562333345
x,-14.75,-5448422.511823587,-92285.65815585107,5447133.254331049,-1289.2574925385416,-93574.91564838961
x,-14.625,-5448391.082147897,-91502.91641573701,5447122.493160568,-1268.5889873290434,-92771.50540306605
x,-14.5,-5448359.652250882,-90720.17509058956,5447111.7319133505,-1247.9203375317156,-91968.09542812128
x,-14.375,-5448329.269138709,-89938.12736691441,5447101.328235442,-1227.9409032668918,-91166.0682701813
x,-14.25,-5448298.9245082345,-89156.10515951179,5447090.937701272,-1207.986806962639,-90364.09196647443
x,-14.125,-5448268.579877758,-88374.08295211103,5447080.547167103,-1188.0327106555924,-89562.11566276662
x,-14.0,-5448238.235490637,-87592.06088772137,5447070.156717213,-1168.0787734240294,-88760.1396611454
x,-13.875,-5448208.336915009,-86809.74369489122,5447059.919268187,-1148.4176468215883,-87958.16134171281
x,-13.75,-5448179.003291884,-86027.05288711656,5447049.875709742,-1129.1275821421295,-87156.18046925869
x,-13.625,-5448149.670134544,-85244.3618071666,5447039.832312696,-1109.8378218486905,-86354.19962901529
x,-13.5,-5448120.469424814,-84461.75906260032,5447029.834163403,-1090.6352614108473,-85552.39432401117
x,-13.375,-5448092.218320938,-83679.78578006942,5447020.160440738,-1072.0578801995143,-84751.84366026893
x,-13.25,-5448063.967449954,-82897.8123614518,5447010.486798771,-1053.4806511830539,-83951.29301263485
x,-13.125,-5448035.716821937,-82115.83908558916,5447000.813240951,-1034.9035809859633,-83150.74266657513
x,-13.0,-5448007.46619392,-81333.8658097256,5446991.139683131,-1016.3265107888728,-82350.19232051447
x,-12.875,-5447979.823248204,-80551.49034869391,5446981.674647674,-998.1486005298793,-81549.6389492238
x,-12.75,-5447952.586299254,-79768.8466791492,5446972.348928228,-980.237371025607,-80749.0840501748
x,-12.625,-5447925.348640829,-78986.20313950069,5446963.022962991,-962.3256778381765,-79948.52881733887
x,-12.5,-5447898.414942434,-78203.7606850937,5446953.80086255,-944.6140798842534,-79148.37476497795
x,-12.375,-5447872.257929044,-77421.83277288545,5446944.84415787,-927.4137711739168,-78349.24654405937
x,-12.25,-5447846.100906326,-76639.90458185319,5446935.887449997,-910.2134563298896,-77550.11803818308
x,-12.125,-5447819.943650354,-75857.97652714606,5446926.930661302,-893.01298905164,-76750.9895161977
x,-12.0,-5447793.786394382,-75076.04847243894,5446917.973872607,-875.8125217752531,-75951.86099421419
x,-11.875,-5447768.399466405,-74293.6112173535,5446909.281375913,-859.1180904917419,-75152.72930784523
x,-11.75,-5447743.257830467,-73511.01111754868,5446900.673034693,-842.5847957739606,-74353.59591332264
x,-11.625,-5447718.116670728,-72728.41102367826,5446892.064858435,-826.051812293008,-73554.46283597127
x,-11.5,-5447693.449398116,-71946.12512097415,5446883.618637967,-809.8307601492852,-72755.95588112343
x,-11.375,-5447669.385637252,-71164.23904519994,5446875.378671296,-794.0069659557194,-71958.24601115566
x,-11.25,-5447645.321391992,-70382.35268493462,5446867.138536857,-778.1828551348299,-71160.53554006945
x,-11.125,-5447621.257388931,-69600.46646691393,5446858.898486301,-762.3589026294649,-70362.8253695434
x,-11.0,-5447597.193385867,-68818.58024889603,5446850.658435747,-746.5349501203746,-69565.1151990164
x,-10.875,-5447574.063236566,-68036.07665676903,5446842.738731389,-731.3245051773265,-68767.40116194636
x,-10.75,-5447551.017658411,-67253.5168049261,5446834.848036293,-716.1696221176535,-67969.68642704375
x,-10.625,-5447527.972080256,-66470.95695308596,5446826.957341195,-701.0147390607744,-67171.97169214673
x,-10.5,-5447505.569315506,-65688.82291108556,5446819.286369344,-686.2829461619258,-66375.10585724749
x,-10.375,-5447483.5988386795,-64906.97520530224,5446811.763161074,-671.8356776051223,-65578.81088290736
x,-10.25,-5447461.628120039,-64125.12735752482,5446804.239869053,-657.3882509861141,-64782.515608510934
x,-10.125,-5447439.657401397,-63343.27950974926,5446796.716577031,-642.9408243661746,-63986.22033411544
x,-10.0,-5447417.763396252,-62561.380934069864,5446789.219597032,-628.543799219653,-63189.92473328952
x,-9.875,-5447396.813944327,-61778.85812363122,5446782.046580834,-614.7673634923995,-62393.625487123616
x,-9.75,-5447375.864008772,-60996.335029209964,5446774.873397128,-600.9906116444618,-61597.325640854426
x,-9.625,-5447354.914073218,-60213.81193478778,5446767.700213422,-587.2138597955927,-60801.02579458337
x,-9.5,-5447334.77491392,-59431.82617336884,5446760.80420946,-573.9707044605166,-60005.79687782936
x,-9.375,-5447314.897065774,-58650.01293246914,5446753.997541258,-560.8995245154947,-59210.91245698463
x,-9.25,-5447295.019466148,-57868.20011209324,5446747.190959105,-547.82850704249,-58416.02861913573
x,-9.125,-5447275.141859434,-57086.38701293152,5446740.384374527,-534.757484906353,-57621.14449783787
x,-9.0,-5447255.502831188,-56304.416068442166,5446733.659603863,-521.8432273250073,-56826.25929576717
x,-8.875,-5447236.648385251,-55521.9260974722,5446727.203886831,-509.44449841976166,-56031.37059589196
x,-8.75,-5447217.793946039,-54739.436405527405,5446720.7481721025,-497.0457739364356,-55236.48217946384
x,-8.625,-5447198.939500103,-53956.94643455651,5446714.292455071,-484.64704503212124,-54441.59347958863
x,-8.5,-5447181.063560577,-53175.10455619078,5446708.171316322,-472.8922442551702,-53647.99680044595
x,-8.375,-5447163.279109611,-52393.32296238933,5446702.081462171,-461.19764744024724,-52854.520609829575
x,-8.25,-5447145.494182887,-51611.54136438854,5446695.991443207,-449.50273967999965,-52061.04410406854
