axis,speed_m_per_s,pair_scalar_shift_hz,pair_vector_shift_hz,pair_tensor_shift_hz,pair_scalar_plus_tensor_shift_hz,pair_total_shift_hz
x,7.875,-5447093.567422915,49265.25212549511,5446678.21101409,-415.3564088251442,48849.89571666997
x,8.0,-5447110.32648693,50047.71241104975,5446683.949294324,-426.37719260621816,49621.335218443535
x,8.125,-5447127.709497213,50829.75990787428,5446689.901507735,-437.80798947811127,50391.95191839617
x,8.25,-5447145.494182887,51611.54136438854,5446695.991443207,-449.50273967999965,51162.03862470854
x,8.375,-5447163.279109611,52393.32296238933,5446702.081462171,-461.19764744024724,51932.12531494908
x,8.5,-5447181.063560577,53175.10455619078,5446708.171316322,-472.8922442551702,52702.21231193561
x,8.625,-5447198.939500103,53956.94643455651,5446714.292455071,-484.64704503212124,53472.299389524385
x,8.75,-5447217.793946039,54739.436405527405,5446720.7481721025,-497.0457739364356,54242.39063159097
x,8.875,-5447236.648385251,55521.9260974722,5446727.203886831,-509.44449841976166,55012.48159905244
x,9.0,-5447255.502831188,56304.416068442166,5446733.659603863,-521.8432273250073,55782.57284111716
x,9.125,-5447275.141859434,57086.38701293152,5446740.384374527,-534.757484906353,56551.629528025165
x,9.25,-5447295.019466148,57868.20011209324,5446747.190959105,-547.82850704249,57320.37160505075
x,9.375,-5447314.897065774,58650.01293246914,5446753.997541258,-560.8995245154947,58089.11340795364
x,9.5,-5447334.77491392,59431.82617336884,5446760.80420946,-573.9707044605166,58857.855468908325
x,9.625,-5447354.914073218,60213.81193478778,5446767.700213422,-587.2138597955927,59626.59807499219
x,9.75,-5447375.864008772,60996.335029209964,5446774.873397128,-600.9906116444618,60395.3444175655
x,9.875,-5447396.813944327,61778.85812363122,5446782.046580834,-614.7673634923995,61164.09076013882
x,10.0,-5447417.763396252,62561.380934069864,5446789.219597032,-628.543799219653,61932.83713485021
x,10.125,-5447439.657401397,63343.27950974926,5446796.716577031,-642.9408243661746,62700.33868538309
x,10.25,-5447461.628120039,64125.12735752482,5446804.239869053,-657.3882509861141,63467.739106538706
x,10.375,-5447483.5988386795,64906.97520530224,5446811.763161074,-671.8356776051223,64235.139527697116
x,10.5,-5447505.569315506,65688.82291108556,5446819.286369344,-686.2829461619258,65002.539964923635
x,10.625,-5447527.972080256,66470.95695308596,5446826.957341195,-701.0147390607744,65769.94221402518
x,10.75,-5447551.017658411,67253.5168049261,5446834.848036293,-716.1696221176535,66537.34718280844
x,10.875,-5447574.063236566,68036.07665676903,5446842.738731389,-731.3245051773265,67304.7521515917
x,11.0,-5447597.193385867,68818.58024889603,5446850.658435747,-746.5349501203746,68072.04529877566
x,11.125,-5447621.257388931,69600.46646691393,5446858.898486301,-762.3589026294649,68838.10756428447
x,11.25,-5447645.321391992,70382.35268493462,5446867.138536857,-778.1828551348299,69604.1698297998
x,11.375,-5447669.385637252,71164.23904519994,5446875.378671296,-794.0069659557194,70370.23207924422
x,11.5,-5447693.449398116,71946.12512097415,5446883.618637967,-809.8307601492852,71136.29436082486
x,11.625,-5447718.116670728,72728.41102367826,5446892.064858435,-826.051812293008,71902.35921138525
x,11.75,-5447743.257830467,73511.01111754868,5446900.673034693,-842.5847957739606,72668.42632177472
x,11.875,-5447768.399466405,74293.6112173535,5446909.281375913,-859.1180904917419,73434.49312686175
x,12.0,-5447793.786394382,75076.04847243894,5446917.973872607,-875.8125217752531,74200.23595066369
x,12.125,-5447819.943650354,75857.97652714606,5446926.930661302,-893.01298905164,74964.96353809442
x,12.25,-5447846.100906326,76639.90458185319,5446935.887449997,-910.2134563298896,75729.6911255233
x,12.375,-5447872.257929044,77421.83277288545,5446944.84415787,-927.4137711739168,76494.41900171153
x,12.5,-5447898.414942434,78203.7606850937,5446953.80086255,-944.6140798842534,77259.14660520945
x,12.625,-5447925.348640829,78986.20313950069,5446963.022962991,-962.3256778381765,78023.87746166252
x,12.75,-5447952.586299254,79768.8466791492,5446972.348928228,-980.237371025607,78788.60930812359
x,12.875,-5447979.823248204,80551.49034869391,5446981.674647674,-998.1486005298793,79553.34174816404
x,13.0,-5448007.46619392,81333.8658097256,5446991.139683131,-1016.3265107888728,80317.53929893672
x,13.125,-5448035.716821937,82115.83908558916,5447000.813240951,-1034.9035809859633,81080.9355046032
x,13.25,-5448063.967449954,82897.8123614518,5447010.486798771,-1053.4806511830539,81844.33171026874
x,13.375,-5448092.218320938,83679.78578006942,5447020.160440738,-1072.0578801995143,82607.7278998699
x,13.5,-5448120.469424814,84461.75906260032,5447029.834163403,-1090.6352614108473,83371.12380118947
x,13.625,-5448149.670134544,85244.3618071666,5447039.832312696,-1109.8378218486905,84134.52398531791
x,13.75,-5448179.003291884,86027.05288711656,5447049.875709742,-1129.1275821421295,84897.92530497443
x,13.875,-5448208.336915009,86809.74369489122,5447059.919268187,-1148.4176468215883,85661.32604806963
x,14.0,-5448238.235490637,87592.06088772137,5447070.156717213,-1168.0787734240294,86423.98211429734
x,14.125,-5448268.579877758,88374.08295211103,5447080.547167103,-1188.0327106555924,87186.05024145544
x,14.25,-5448298.9245082345,89156.10515951179,5447090.937701272,-1207.986806962639,87948.11835254915
x,14.375,-5448329.269138709,89938.12736691441,5447101.328235442,-1227.9409032668918,88710.18646364752
x,14.5,-5448359.652250882,90720.17509058956,5447111.7319133505,-1247.9203375317156,89472.25475305784
x,14.625,-5448391.082147897,91502.91641573701,5447122.493160568,-1268.5889873290434,90234.32742840797
x,14.75,-5448422.511823587,92285.65815585107,5447133.254331049,-1289.2574925385416,90996.40066331252
x,14.875,-5448453.941720601,93068.39948099852,5447144.015578266,-1309.926142334938,91758.47333866358
x,15.0,-5448486.095455917,93850.66246902291,5447155.02528605,-1331.0701698670164,92519.59229915589
x,15.125,-5448518.534143528,94632.73700598814,5447166.132803567,-1352.4013399612159,93280.33566602692
x,15.25,-5448550.972587398,95414.81139968801,5447177.2402366735,-1373.7323507247493,94041.07904896326
x,15.375,-5448583.411042837,96196.88607226405,5447188.34767374,-1395.0633690971881,94801.82270316686
x,15.5,-5448616.060937973,96979.10056674853,5447199.527325146,-1416.533612826839,95562.56695392169
x,15.625,-5448649.587495764,97761.89600352477,5447211.006382743,-1438.5811130208895,96323.31489050388
x,15.75,-5448683.114541811,98544.69172735047,5447222.485609428,-1460.6289323829114,97084.06279496755
x,15.875,-5448716.641111556,99327.48744326178,5447233.964671117,-1482.676440439187,97844.8110028226
x,16.0,-5448751.048919685,100109.70046902541,5447245.746268183,-1505.302651502192,98604.39781752322
x,16.125,-5448785.581091084,100891.83034624718,5447257.570557735,-1528.0105333486572,99363.81981289852
x,16.25,-5448820.114238995,101673.96079756878,5447269.395185465,-1550.7190535301343,100123.24174403865
x,16.375,-5448854.646666838,102456.09109721519,5447281.219563777,-1573.427103061229,100882.66399415396
x,16.5,-5448889.564175889,103238.47627881914,5447293.175439883,-1596.3887360058725,101642.08754281327
x,16.625,-5448925.18805596,104021.32956495974,5447305.3725237325,-1619.815532227978,102401.51403273176
x,16.75,-5448960.811691515,104804.18270731997,5447317.569522906,-1643.242168609053,103160.94053871091
x,16.875,-5448996.4695597105,105587.0135028176,5447329.778276196,-1666.6912835147232,103920.32221930288
x,17.0,-5449033.09713028,106369.20315484237,5447342.319987522,-1690.7771427575499,104678.42601208482
x,17.125,-5449069.724456331,107151.39266308676,5447354.861614171,-1714.8628421593457,105436.52982092742
x,17.25,-5449106.351795442,107933.58245025016,5447367.403245293,-1738.9485501497984,106194.63390010037
x,17.375,-5449142.979366011,108715.77210227493,5447379.94495662,-1763.0344093907624,106952.73769288417
x,17.5,-5449180.165452439,109498.33192647621,5447392.677353474,-1787.4880989650264,107710.84382751118
x,17.625,-5449217.886811357,110281.24646359961,5447405.592503762,-1812.2943075951189,108468.9521560045
x,17.75,-5449255.606959192,111064.16055969335,5447418.507234603,-1837.0997245889157,109227.06083510444
x,17.875,-5449293.52082986,111846.94751038402,5447431.488495422,-1862.0323344385251,109984.9151759455
x,18.0,-5449332.243146107,112629.19995171297,5447444.747387791,-1887.4957583155483,110741.70419339743
x,18.125,-5449370.965231255,113411.45252794214,5447458.006200078,-1912.9590311767533,111498.49349676538
x,18.25,-5449409.687547501,114193.70496927295,5447471.2650924465,-1938.4224550547078,112255.28251421824
x,18.375,-5449448.409863749,114975.9574106019,5447484.523984816,-1963.8858789326623,113012.07153166924
x,18.5,-5449487.865838606,115758.69612782169,5447498.033317789,-1989.8325208164752,113768.86360700522
x,18.625,-5449527.684296941,116541.67536328733,5447511.66638819,-2016.0179087510332,114525.6574545363
x,18.75,-5449567.502741078,117324.65431955364,5447525.29945373,-2042.2032873481512,115282.45103220548
x,18.875,-5449607.672249349,118107.40151087847,5447539.053100094,-2068.619149254635,116038.78236162383
x,19.0,-5449648.489657931,118889.72033810057,5447553.029278306,-2095.4603796247393,116794.25995847583
x,19.125,-5449689.306821215,119672.03902101982,5447567.005371574,-2122.301449640654,117549.73757137917
x,19.25,-5449730.1242152415,120454.35756927636,5447580.981544804,-2149.1426704376936,118305.21489883866
x,19.375,-5449770.941378525,121236.67625219654,5447594.957638072,-2175.9837404536083,119060.69251174293
x,19.5,-5449812.668839336,122019.59800568316,5447609.244420733,-2203.42441860307,119816.17358708009
x,19.625,-5449854.585519516,122802.64491094742,5447623.595784454,-2230.989735062234,120571.65517588519
x,19.75,-5449896.501983898,123585.69223010167,5447637.947073329,-2258.5549105685204,121327.13731953315
x,19.875,-5449938.9262139,124368.4038963709,5447652.472791346,-2286.4534225538373,122081.95047381707
x,20.0,-5449981.839026639,125150.79226620868,5447667.1663473975,-2314.6726792417467,122836.11958696693
x,20.125,-5450024.751869984,125933.18119402789,5447681.859913927,-2342.8919560573995,123590.28923797049
x,20.25,-5450067.664682724,126715.5695638666,5447696.553469978,-2371.111212745309,124344.45835112128
x,20.375,-5450110.577971542,127497.95794383343,5447711.247190944,-2399.330780598335,125098.6271632351
x,20.5,-5450154.577429479,128281.06690017413,5447726.31155948,-2428.2658699993044,125852.80103017483
x,20.625,-5450198.592020437,129064.18561907858,5447741.38109207,-2457.210928367451,126606.97469071113
x,20.75,-5450242.606611397,129847.30433798023,5447756.45062466,-2486.15598673746,127361.14835124277
x,20.875,-5450287.284804406,130629.98438003007,5447771.748153939,-2515.5366504667327,128114.44772956334
x,21.0,-5450332.293442182,131412.4462965941,5447787.15921659,-2545.134225592017,128867.31207100209
x,21.125,-5450377.302293943,132194.90779994708,5447802.570353462,-2574.7319404808804,129620.1758594662
x,21.25,-5450422.31093172,132977.3697165111,5447817.981416114,-2604.329515606165,130373.04020090494
x,21.375,-5450467.4793747775,133759.93730280641,5447833.447002446,-2634.0323723312467,131125.90493047517
x,21.5,-5450513.592902206,134543.13138606772,5447849.2350418065,-2664.35786039941,131878.7735256683
x,21.625,-5450559.706199599,135326.32560352422,5447865.023001449,-2694.6831981502473,132631.64240537398
x,21.75,-5450605.81948055,136109.51954170316,5447880.810955463,-2725.008525086567,133384.5110166166
x,21.875,-5450652.752401441,136892.17202183977,5447896.880562356,-2755.871839085594,134136.30018275417
x,22.0,-5450699.857400946,137674.7107435139,5447913.00929982,-2786.84810112603,134887.86264238786
x,22.125,-5450746.962630131,138457.2493312247,5447929.1381168775,-2817.824513253756,135639.42481797095
x,22.25,-5450794.067383159,139239.78790781554,5447945.266768995,-2848.800614164211,136390.98729365133
x,22.375,-5450841.507717775,140022.54870111123,5447961.509897947,-2879.9978198278695,137142.55088128336
x,22.5,-5450889.720135706,140805.82133522537,5447978.016410004,-2911.703725701198,137894.11760952417
x,22.625,-5450937.932323955,141589.0941033028,5447994.522842467,-2943.4094814881682,138645.68462181464
x,22.75,-5450986.144495014,142372.3665920766,5448011.029269043,-2975.115225970745,139397.25136610586
x,22.875,-5451035.330954385,143154.9954348812,5448027.870541959,-3007.4604124259204,140147.53502245527
x,23.0,-5451084.53233722,143937.61439619958,5448044.7169431485,-3039.815394071862,140897.79900212772
x,23.125,-5451133.733702509,144720.23307844717,5448061.56333833,-3072.170364178717,141648.06271426845
x,23.25,-5451182.935085343,145502.85203976464,5448078.40973952,-3104.525345822796,142398.32669394184
x,23.375,-5451232.648808875,146285.81042509992,5448095.430886161,-3137.217922714539,143148.59250238538
x,23.5,-5451282.960532872,147069.16527757235,5448112.655995772,-3170.304537099786,143898.86074047256
x,23.625,-5451333.271780275,147852.52011817135,5448129.880940294,-3203.390839980915,144649.12927819043
x,23.75,-5451383.724745051,148635.78162472043,5448147.154599454,-3236.57014559675,145399.21147912368
x,23.875,-5451435.022662591,149418.48406673595,5448164.71869746,-3270.303965130821,146148.18010160513
x,24.0,-5451486.3213036405,150201.18666646536,5448182.283046054,-3304.0382575867698,146897.1484088786
x,24.125,-5451537.619697423,150983.88912059087,5448199.847309029,-3337.7723883939907,147646.11673219688
x,24.25,-5451588.918338472,151766.59172032122,5448217.411657619,-3371.5066808527336,148395.08503946848
x,24.375,-5451640.906710549,152549.75194192305,5448235.211213632,-3405.6954969177023,149144.05644500535
x,24.5,-5451693.318021569,153333.192599562,5448253.154998208,-3440.163023361005,149893.029576201
x,24.625,-5451745.729313901,154116.63297783583,5448271.098776386,-3474.630537514575,150642.00244032126
x,24.75,-5451798.437733734,154899.87730620243,5448289.144704439,-3509.2930292952806,151390.58427690715
x,24.875,-5451851.833328007,155682.66718164366,5448307.426874502,-3544.4064535051584,152138.2607281385
x,25.0,-5451905.229627191,156465.45693642367,5448325.709288779,-3579.5203384123743,152885.9365980113
y,-25.0,-5451905.229627191,-156465.45693642367,5448325.709288779,-3579.5203384123743,-160044.97727483604
y,-24.875,-5451851.833328007,-155682.66718164366,5448307.426874502,-3544.4064535051584,-159227.07363514882
y,-24.75,-5451798.437733734,-154899.87730620243,5448289.144704439,-3509.2930292952806,-158409.1703354977
y,-24.625,-5451745.729313901,-154116.63297783583,5448271.098776386,-3474.630537514575,-157591.2635153504
y,-24.5,-5451693.318021569,-153333.192599562,5448253.154998208,-3440.163023361005,-156773.355622923
y,-24.375,-5451640.906710549,-152549.75194192305,5448235.211213632,-3405.6954969177023,-155955.44743884075
y,-24.25,-5451588.918338472,-151766.59172032122,5448217.411657619,-3371.5066808527336,-155138.09840117395
y,-24.125,-5451537.619697423,-150983.88912059087,5448199.847309029,-3337.7723883939907,-154321.66150898486
y,-24.0,-5451486.3213036405,-150201.18666646536,5448182.283046054,-3304.0382575867698,-153505.22492405213
y,-23.875,-5451435.022662591,-149418.48406673595,5448164.71869746,-3270.303965130821,-152688.78803186677
y,-23.75,-5451383.724745051,-148635.78162472043,5448147.154599454,-3236.57014559675,-151872.35177031718
y,-23.625,-5451333.271780275,-147852.52011817135,5448129.880940294,-3203.390839980915,-151055.91095815226
y,-23.5,-5451282.960532872,-147069.16527757235,5448112.655995772,-3170.304537099786,-150239.46981467213
y,-23.375,-5451232.648808875,-146285.81042509992,5448095.430886161,-3137.217922714539,-149423.02834781446
y,-23.25,-5451182.935085343,-145502.85203976464,5448078.40973952,-3104.525345822796,-148607.37738558743
y,-23.125,-5451133.733702509,-144720.23307844717,5448061.56333833,-3072.170364178717,-147792.4034426259
y,-23.0,-5451084.53233722,-143937.61439619958,5448044.7169431485,-3039.815394071862,-146977.42979027145
y,-22.875,-5451035.330954385,-143154.9954348812,5448027.870541959,-3007.4604124259204,-146162.4558473071
y,-22.75,-5450986.144495014,-142372.3665920766,5448011.029269043,-2975.115225970745,-145347.48181804735
y,-22.625,-5450937.932323955,-141589.0941033028,5447994.522842467,-2943.4094814881682,-144532.50358479097
y,-22.5,-5450889.720135706,-140805.82133522537,5447978.016410004,-2911.703725701198,-143717.52506092656
y,-22.375,-5450841.507717775,-140022.54870111123,5447961.509897947,-2879.9978198278695,-142902.5465209391
y,-22.25,-5450794.067383159,-139239.78790781554,5447945.266768995,-2848.800614164211,-142088.58852197975
y,-22.125,-5450746.962630131,-138457.2493312247,5447929.1381168775,-2817.824513253756,-141275.07384447847
y,-22.0,-5450699.857400946,-137674.7107435139,5447913.00929982,-2786.84810112603,-140461.55884463992
y,-21.875,-5450652.752401441,-136892.17202183977,5447896.880562356,-2755.871839085594,-139648.04386092536
y,-21.75,-5450605.81948055,-136109.51954170316,5447880.810955463,-2725.008525086567,-138834.52806678973
y,-21.625,-5450559.706199599,-135326.32560352422,5447865.023001449,-2694.6831981502473,-138021.00880167447
y,-21.5,-5450513.592902206,-134543.13138606772,5447849.2350418065,-2664.35786039941,-137207.48924646713
y,-21.375,-5450467.4793747775,-133759.93730280641,5447833.447002446,-2634.0323723312467,-136393.96967513766
y,-21.25,-5450422.31093172,-132977.3697165111,5447817.981416114,-2604.329515606165,-135581.69923211727
y,-21.125,-5450377.302293943,-132194.90779994708,5447802.570353462,-2574.7319404808804,-134769.63974042796
y,-21.0,-5450332.293442182,-131412.4462965941,5447787.15921659,-2545.134225592017,-133957.58052218612
y,-20.875,-5450287.284804406,-130629.98438003007,5447771.748153939,-2515.5366504667327,-133145.5210304968
y,-20.75,-5450242.606611397,-129847.30433798023,5447756.45062466,-2486.15598673746,-132333.4603247177
y,-20.625,-5450198.592020437,-129064.18561907858,5447741.38109207,-2457.210928367451,-131521.39654744603
y,-20.5,-5450154.577429479,-128281.06690017413,5447726.31155948,-2428.2658699993044,-130709.33277017344
y,-20.375,-5450110.577971542,-127497.95794383343,5447711.247190944,-2399.330780598335,-129897.28872443177
y,-20.25,-5450067.664682724,-126715.5695638666,5447696.553469978,-2371.111212745309,-129086.6807766119
y,-20.125,-5450024.751869984,-125933.18119402789,5447681.859913927,-2342.8919560573995,-128276.07315008529
y,-20.0,-5449981.839026639,-125150.79226620868,5447667.1663473975,-2314.6726792417467,-127465.46494545043
y,-19.875,-5449938.9262139,-124368.4038963709,5447652.472791346,-2286.4534225538373,-126654.85731892474
y,-19.75,-5449896.501983898,-123585.69223010167,5447637.947073329,-2258.5549105685204,-125844.2471406702
y,-19.625,-5449854.585519516,-122802.64491094742,5447623.595784454,-2230.989735062234,-125033.63464600965
y,-19.5,-5449812.668839336,-122019.59800568316,5447609.244420733,-2203.42441860307,-124223.02242428623
y,-19.375,-5449770.941378525,-121236.67625219654,5447594.957638072,-2175.9837404536083,-123412.65999265015
y,-19.25,-5449730.1242152415,-120454.35756927636,5447580.981544804,-2149.1426704376936,-122603.50023971405
y,-19.125,-5449689.306821215,-119672.03902101982,5447567.005371574,-2122.301449640654,-121794.34047066048
y,-19.0,-5449648.489657931,-118889.72033810057,5447553.029278306,-2095.4603796247393,-120985.1807177253
y,-18.875,-5449607.672249349,-118107.40151087847,5447539.053100094,-2068.619149254635,-120176.0206601331
y,-18.75,-5449567.502741078,-117324.65431955364,5447525.29945373,-2042.2032873481512,-119366.85760690179
y,-18.625,-5449527.684296941,-116541.67536328733,5447511.66638819,-2016.0179087510332,-118557.69327203836
y,-18.5,-5449487.865838606,-115758.69612782169,5447498.033317789,-1989.8325208164752,-117748.52864863817
y,-18.375,-5449448.409863749,-114975.9574106019,5447484.523984816,-1963.8858789326623,-116939.84328953456
y,-18.25,-5449409.687547501,-114193.70496927295,5447471.2650924465,-1938.4224550547078,-116132.12742432766
y,-18.125,-5449370.965231255,-113411.45252794214,5447458.006200078,-1912.9590311767533,-115324.41155911889
y,-18.0,-5449332.243146107,-112629.19995171297,5447444.747387791,-1887.4957583155483,-114516.69571002852
y,-17.875,-5449293.52082986,-111846.94751038402,5447431.488495422,-1862.0323344385251,-113708.97984482255
y,-17.75,-5449255.606959192,-111064.16055969335,5447418.507234603,-1837.0997245889157,-112901.26028428227
y,-17.625,-5449217.886811357,-110281.24646359961,5447405.592503762,-1812.2943075951189,-112093.54077119473
y,-17.5,-5449180.165452439,-109498.33192647621,5447392.677353474,-1787.4880989650264,-111285.82002544124
y,-17.375,-5449142.979366011,-108715.77210227493,5447379.94495662,-1763.0344093907624,-110478.8065116657
y,-17.25,-5449106.351795442,-107933.58245025016,5447367.403245293,-1738.9485501497984,-109672.53100039996
y,-17.125,-5449069.724456331,-107151.39266308676,5447354.861614171,-1714.8628421593457,-108866.25550524611
y,-17.0,-5449033.09713028,-106369.20315484237,5447342.319987522,-1690.7771427575499,-108059.98029759992
y,-16.875,-5448996.4695597105,-105587.0135028176,5447329.778276196,-1666.6912835147232,-107253.70478633232
y,-16.75,-5448960.811691515,-104804.18270731997,5447317.569522906,-1643.242168609053,-106447.42487592902
y,-16.625,-5448925.18805596,-104021.32956495974,5447305.3725237325,-1619.815532227978,-105641.14509718772
y,-16.5,-5448889.564175889,-103238.47627881914,5447293.175439883,-1596.3887360058725,-104834.86501482502
y,-16.375,-5448854.646666838,-102456.09109721519,5447281.219563777,-1573.427103061229,-104029.51820027642
y,-16.25,-5448820.114238995,-101673.96079756878,5447269.395185465,-1550.7190535301343,-103224.67985109892
y,-16.125,-5448785.581091084,-100891.83034624718,5447257.570557735,-1528.0105333486572,-102419.84087959584
y,-16.0,-5448751.048919685,-100109.70046902541,5447245.746268183,-1505.302651502192,-101615.0031205276
y,-15.875,-5448716.641111556,-99327.48744326178,5447233.964671117,-1482.676440439187,-100810.16388370097
y,-15.75,-5448683.114541811,-98544.69172735047,5447222.485609428,-1460.6289323829114,-100005.32065973338
y,-15.625,-5448649.587495764,-97761.89600352477,5447211.006382743,-1438.5811130208895,-99200.47711654566
y,-15.5,-5448616.060937973,-96979.10056674853,5447199.527325146,-1416.533612826839,-98395.63417957537
y,-15.375,-5448583.411042837,-96196.88607226405,5447188.34767374,-1395.0633690971881,-97591.94944136124
y,-15.25,-5448550.972587398,-95414.81139968801,5447177.2402366735,-1373.7323507247493,-96788.54375041276
y,-15.125,-5448518.534143528,-94632.73700598814,5447166.132803567,-1352.4013399612159,-95985.13834594935
y,-15.0,-5448486.095455917,-93850.66246902291,5447155.02528605,-1331.0701698670164,-95181.73263888992
y,-14.875,-5448453.941720601,-93068.39948099852,5447144.015578266,-1309.926142334938,-94378.32562333345
y,-14.75,-5448422.511823587,-92285.65815585107,5447133.254331049,-1289.2574925385416,-93574.91564838961
y,-14.625,-5448391.082147897,-91502.91641573701,5447122.493160568,-1268.5889873290434,-92771.50540306605
y,-14.5,-5448359.652250882,-90720.17509058956,5447111.7319133505,-1247.9203375317156,-91968.09542812128
y,-14.375,-5448329.269138709,-89938.12736691441,5447101.328235442,-1227.9409032668918,-91166.0682701813
y,-14.25,-5448298.9245082345,-89156.10515951179,5447090.937701272,-1207.986806962639,-90364.09196647443
y,-14.125,-5448268.579877758,-88374.08295211103,5447080.547167103,-1188.0327106555924,-89562.11566276662
y,-14.0,-5448238.235490637,-87592.06088772137,5447070.156717213,-1168.0787734240294,-88760.1396611454
y,-13.875,-5448208.336915009,-86809.74369489122,5447059.919268187,-1148.4176468215883,-87958.16134171281
y,-13.75,-5448179.003291884,-86027.05288711656,5447049.875709742,-1129.1275821421295,-87156.18046925869
y,-13.625,-5448149.670134544,-85244.3618071666,5447039.832312696,-1109.8378218486905,-86354.19962901529
y,-13.5,-5448120.469424814,-84461.75906260032,5447029.834163403,-1090.6352614108473,-85552.39432401117
y,-13.375,-5448092.218320938,-83679.78578006942,5447020.160440738,-1072.0578801995143,-84751.84366026893
y,-13.25,-5448063.967449954,-82897.8123614518,5447010.486798771,-1053.4806511830539,-83951.29301263485
y,-13.125,-5448035.716821937,-82115.83908558916,5447000.813240951,-1034.9035809859633,-83150.74266657513
y,-13.0,-5448007.46619392,-81333.8658097256,5446991.139683131,-1016.3265107888728,-82350.19232051447
y,-12.875,-5447979.823248204,-80551.49034869391,5446981.674647674,-998.1486005298793,-81549.6389492238
y,-12.75,-5447952.586299254,-79768.8466791492,5446972.348928228,-980.237371025607,-80749.0840501748
y,-12.625,-5447925.348640829,-78986.20313950069,5446963.022962991,-962.3256778381765,-79948.52881733887
y,-12.5,-5447898.414942434,-78203.7606850937,5446953.80086255,-944.6140798842534,-79148.37476497795
y,-12.375,-5447872.257929044,-77421.83277288545,5446944.84415787,-927.4137711739168,-78349.24654405937
y,-12.25,-5447846.100906326,-76639.90458185319,5446935.887449997,-910.2134563298896,-77550.11803818308
y,-12.125,-5447819.943650354,-75857.97652714606,5446926.930661302,-893.01298905164,-76750.9895161977
y,-12.0,-5447793.786394382,-75076.04847243894,5446917.973872607,-875.8125217752531,-75951.86099421419
y,-11.875,-5447768.399466405,-74293.6112173535,5446909.281375913,-859.1180904917419,-75152.72930784523
y,-11.75,-5447743.257830467,-73511.01111754868,5446900.673034693,-842.5847957739606,-74353.59591332264
y,-11.625,-5447718.116670728,-72728.41102367826,5446892.064858435,-826.051812293008,-73554.46283597127
y,-11.5,-5447693.449398116,-71946.12512097415,5446883.618637967,-809.8307601492852,-72755.95588112343
y,-11.375,-5447669.385637252,-71164.23904519994,5446875.378671296,-794.0069659557194,-71958.24601115566
y,-11.25,-5447645.321391992,-70382.35268493462,5446867.138536857,-778.1828551348299,-71160.53554006945
y,-11.125,-5447621.257388931,-69600.46646691393,5446858.898486301,-762.3589026294649,-70362.8253695434
y,-11.0,-5447597.193385867,-68818.58024889603,5446850.658435747,-746.5349501203746,-69565.1151990164
y,-10.875,-5447574.063236566,-68036.07665676903,5446842.738731389,-731.3245051773265,-68767.40116194636
y,-10.75,-5447551.017658411,-67253.5168049261,5446834.848036293,-716.1696221176535,-67969.68642704375
y,-10.625,-5447527.972080256,-66470.95695308596,5446826.957341195,-701.0147390607744,-67171.97169214673
y,-10.5,-5447505.569315506,-65688.82291108556,5446819.286369344,-686.2829461619258,-66375.10585724749
y,-10.375,-5447483.5988386795,-64906.97520530224,5446811.763161074,-671.8356776051223,-65578.81088290736
y,-10.25,-5447461.628120039,-64125.12735752482,5446804.239869053,-657.3882509861141,-64782.515608510934
y,-10.125,-5447439.657401397,-63343.27950974926,5446796.716577031,-642.9408243661746,-63986.22033411544
y,-10.0,-5447417.763396252,-62561.380934069864,5446789.219597032,-628.543799219653,-63189.92473328952
y,-9.875,-5447396.813944327,-61778.85812363122,5446782.046580834,-614.7673634923995,-62393.625487123616
y,-9.75,-5447375.864008772,-60996.335029209964,5446774.873397128,-600.9906116444618,-61597.325640854426
y,-9.625,-5447354.914073218,-60213.81193478778,5446767.700213422,-587.2138597955927,-60801.02579458337
y,-9.5,-5447334.77491392,-59431.82617336884,5446760.80420946,-573.9707044605166,-60005.79687782936
y,-9.375,-5447314.897065774,-58650.01293246914,5446753.997541258,-560.8995245154947,-59210.91245698463
y,-9.25,-5447295.019466148,-57868.20011209324,5446747.190959105,-547.82850704249,-58416.02861913573
y,-9.125,-5447275.141859434,-57086.38701293152,5446740.384374527,-534.757484906353,-57621.14449783787
y,-9.0,-5447255.502831188,-56304.416068442166,5446733.659603863,-521.8432273250073,-56826.25929576717
y,-8.875,-5447236.648385251,-55521.9260974722,5446727.203886831,-509.44449841976166,-56031.37059589196
y,-8.75,-5447217.793946039,-54739.436405527405,5446720.7481721025,-497.0457739364356,-55236.48217946384
y,-8.625,-5447198.939500103,-53956.94643455651,5446714.292455071,-484.64704503212124,-54441.59347958863
y,-8.5,-5447181.063560577,-53175.10455619078,5446708.171316322,-472.8922442551702,-53647.99680044595
y,-8.375,-5447163.279109611,-52393.32296238933,5446702.081462171,-461.19764744024724,-52854.520609829575
y,-8.25,-5447145.494182887,-51611.54136438854,5446695.991443207,-449.50273967999965,-52061.04410406854
y,-8.125,-5447127.709497213,-50829.75990787428,5446689.901507735,-437.80798947811127,-51267.56789735239
y,-8.0,-5447110.32648693,-50047.71241104975,5446683.949294324,-426.37719260621816,-50474.08960365597
y,-7.875,-5447093.567422915,-49265.25212549511,5446678.21101409,-415.3564088251442,-49680.60853432026
y,-7.75,-5447076.808358898,-48482.79183993954,5446672.472733855,-404.33562504313886,-48887.12746498268
y,-7.625,-5447060.12752673,-47700.38336646091,5446666.761207619,-393.36631911154836,-48093.74968557246
