projected_speed_m_per_s,atom_frame_wavelength_nm,scalar_mhz_per_1e5_w_per_m2,vector_mhz_per_1e5_w_per_m2,tensor_aligned_mhz_per_1e5_w_per_m2,scalar_plus_tensor_mhz_per_1e5_w_per_m2,scalar_plus_tensor_over_abs_vector
-21.25,1529.2687726018046,-55.302477199044795,137.65424376031854,53.832390484782444,-1.4700867142623508,-0.010679559700477112
-21.125,1529.268773239441,-55.28903273132958,137.64633165953492,53.827735045529934,-1.461297685799643,-0.010616321322780542
-21.0,1529.2687738770776,-55.27558826361435,137.6384195587513,53.82307960627743,-1.4525086573369208,-0.010553075674607799
-20.875,1529.2687745147139,-55.26214380069327,137.63050746078906,53.818424168685006,-1.4437196320082677,-0.010489822777261673
-20.75,1529.2687751523504,-55.24869933297806,137.62259536000545,53.813768729432496,-1.434930603545567,-0.01042656258437757
-20.625,1529.2687757899864,-55.23525487485112,137.61468326486454,53.80911329350015,-1.4261415813509757,-0.010363295162378177
-20.5,1529.268776427623,-55.2218104071359,137.60677116408093,53.804457854247644,-1.4173525528882536,-0.01030002041976711
-20.375,1529.2687770652594,-55.20836623454497,137.5988592589299,53.79980251570488,-1.4085637188400852,-0.01023673979876161
-20.25,1529.2687777028957,-55.19494323624743,137.59096138948252,53.79515440281242,-1.3997888334350108,-0.010173552239907607
-20.125,1529.2687783405322,-55.18152023316342,137.58306351721882,53.79050628826249,-1.3910139449009264,-0.010110357404033514
-20.0,1529.2687789781687,-55.16809723007942,137.57516564495515,53.78585817371256,-1.3822390563668563,-0.010047155312420609
-19.875,1529.268779615805,-55.15467423178188,137.56726777550773,53.781210060820094,-1.373464170961789,-0.009983945986359979
-19.75,1529.2687802534415,-55.14125122869787,137.55936990324403,53.77656194627017,-1.3646892824276975,-0.009920729379522365
-19.625,1529.268780891078,-55.12782822561386,137.55147203098036,53.77191383172024,-1.3559143938936202,-0.009857505513196044
-19.5,1529.2687815287143,-55.114405227316325,137.54357416153294,53.76726571882777,-1.347139508488553,-0.009794274408679063
-19.375,1529.2687821663508,-55.10098591084983,137.53567873288597,53.76261886253019,-1.3383670483196397,-0.009731053502989145
-19.25,1529.2687828039873,-55.08758431935175,137.52779505295686,53.75797805581143,-1.3296062635403203,-0.00966790940717357
-19.125,1529.2687834416233,-55.074182737411356,137.51991137865022,53.75333725240237,-1.320845485008988,-0.009604758116605704
-19.0,1529.2687840792598,-55.060781145913275,137.51202769872108,53.748696445683606,-1.3120847002296685,-0.009541599539964252
-18.875,1529.268784716896,-55.04737955919404,137.5041440216032,53.74405564061969,-1.3033239185743497,-0.00947843374356474
-18.75,1529.2687853545326,-55.03397796769596,137.49626034167412,53.73941483390093,-1.2945631337950303,-0.009415260681112923
-18.625,1529.2687859921691,-55.020576376197866,137.488376661745,53.73477402718216,-1.2858023490157038,-0.009352080373885654
