point_index,detuning_n,detuning_rad_per_s,detuning_hz,detuning_mhz,requested_ensemble_count,temperature_ensemble_count,valid_temperature_ensemble_count,requested_atom_count,complete_atom_count,trapped_atom_count,complete_outside_core_count,escaped_atom_count,other_incomplete_atom_count,failed_atom_count,duration_complete_fraction,trapped_fraction,trapped_fraction_sem,trapped_fraction_ci_low,trapped_fraction_ci_high,trapped_fraction_pooled_wilson_low,trapped_fraction_pooled_wilson_high,minimum_survivors_per_ensemble,median_survivors_per_ensemble,maximum_survivors_per_ensemble,initial_temperature_mean_k,plateau_temperature_x_k,plateau_temperature_y_k,plateau_temperature_z_k,plateau_temperature_mean_k,temperature_sem_k,temperature_ci_low_k,temperature_ci_high_k,final_temperature_mean_k,final_temperature_sem_k,doppler_temperature_k,plateau_over_doppler,stationarity_pass_count,statistics_pass_count,plateau_max_radius_median_m,plateau_max_radius_p90_m,plateau_max_radius_max_m,valid,quality_status,termination_counts_json,boundedness_counts_json,point_wall_time_s
13,-1.25,-47673668.51822511,-7587500.0,-7.5875,10,10,10,250,250,250,0,0,0,0,1.0,1.0,0.0,1.0,1.0,0.9848667005045553,0.9999999999999998,25,25.0,25,0.002089193809865821,0.0005106553932217614,0.0005268786156153043,0.0005768218479610042,0.00053811861893269,4.948323082639942e-06,0.0005269247344264578,0.0005493125034389222,0.000563988185551023,3.871206048729454e-05,0.00014565702718741794,3.694422640112577,10,10,0.0002592526082884967,0.0003849656399346827,0.0004885615769640034,True,valid,"{""duration"": 250}","{""complete_final_plateau_core"": 250}",103.97309239999959
14,-1.0,-38138934.81458009,-6070000.0,-6.07,10,10,9,250,250,250,0,0,0,0,1.0,1.0,0.0,1.0,1.0,0.9848667005045553,0.9999999999999998,25,25.0,25,0.002089193809865821,0.0005350902125192048,0.0005103778248670839,0.0005760144875667607,0.0005404941749843499,6.594952882578584e-06,0.0005255753550813773,0.0005554129948873225,0.0005284635585749068,3.189458328783721e-05,0.00014565702718741794,3.710731884489803,9,10,0.0002625351499796802,0.00040421978963475026,0.0007020853422641007,False,nonstationary,"{""duration"": 250}","{""complete_final_plateau_core"": 250}",103.70395720000306
15,-0.8,-30511147.851664074,-4856000.000000001,-4.856000000000001,10,10,9,250,250,250,0,0,0,0,1.0,1.0,0.0,1.0,1.0,0.9848667005045553,0.9999999999999998,25,25.0,25,0.002089193809865821,0.0005098941219600437,0.0005356303408509365,0.0005857411588008637,0.0005437552072039479,5.528020626995967e-06,0.0005312499557453773,0.0005562604586625186,0.0005959771737379927,3.318507050014131e-05,0.00014565702718741794,3.7331203149182373,9,10,0.0002831783991428452,0.0004122227247830117,0.0005846569103088852,False,nonstationary,"{""duration"": 250}","{""complete_final_plateau_core"": 250}",104.0403468000004
16,-0.7,-26697254.37020606,-4249000.0,-4.2490000000000006,10,10,9,250,250,250,0,0,0,0,1.0,1.0,0.0,1.0,1.0,0.9848667005045553,0.9999999999999998,25,25.0,25,0.002089193809865821,0.000557373379857896,0.0005468198102397701,0.000612708043182208,0.0005723004110932913,5.151228078402006e-06,0.0005606475235974875,0.0005839532985890952,0.0005619621549533664,3.437520793595354e-05,0.00014565702718741794,3.929095781674222,9,10,0.00028448501261493623,0.00041684256780830255,0.0006302261988619573,False,nonstationary,"{""duration"": 250}","{""complete_final_plateau_core"": 250}",103.84914909999861
17,-0.6,-22883360.888748053,-3642000.0,-3.6420000000000003,10,10,8,250,250,250,0,0,0,0,1.0,1.0,0.0,1.0,1.0,0.9848667005045553,0.9999999999999998,25,25.0,25,0.002089193809865821,0.0005746263940206881,0.000580612074724913,0.0006247016263766991,0.0005933133650407666,6.3761919191759e-06,0.0005788894168181402,0.0006077373132633931,0.0005837931332607219,3.9696036602819904e-05,0.00014565702718741794,4.073359016708106,8,10,0.0002873187131538523,0.0004318305277961701,0.0006063185426232476,False,nonstationary,"{""duration"": 250}","{""complete_final_plateau_core"": 250}",103.95899930000087
18,-0.5,-19069467.407290045,-3035000.0,-3.035,10,10,9,250,250,250,0,0,0,0,1.0,1.0,0.0,1.0,1.0,0.9848667005045553,0.9999999999999998,25,25.0,25,0.002089193809865821,0.0006147694046045456,0.0005917346060952397,0.0006478262363133489,0.0006181100823377115,4.624195367018808e-06,0.0006076494256650985,0.0006285707390103245,0.0005753626392428459,3.539519707708309e-05,0.00014565702718741794,4.243599462883345,9,10,0.0003325749616137373,0.0004842925274379703,0.0006294486828606018,False,nonstationary,"{""duration"": 250}","{""complete_final_plateau_core"": 250}",103.9046348999982
19,-0.4,-15255573.925832037,-2428000.0000000005,-2.4280000000000004,10,10,10,250,250,250,0,0,0,0,1.0,1.0,0.0,1.0,1.0,0.9848667005045553,0.9999999999999998,25,25.0,25,0.002089193809865821,0.0006730604545640293,0.0006724071259329914,0.0007373298124477132,0.0006942657976482446,4.8044628510235496e-06,0.0006833973475954342,0.0007051342477010549,0.0007326756814281589,4.029138690990618e-05,0.00014565702718741794,4.766442176215279,10,10,0.0004180043830640307,0.0006633016686091933,0.0009024930152831398,True,valid,"{""duration"": 250}","{""complete_final_plateau_core"": 250}",103.96343040000284
20,-0.3,-11441680.444374027,-1821000.0,-1.8210000000000002,10,10,8,250,250,250,0,0,0,0,1.0,1.0,0.0,1.0,1.0,0.9848667005045553,0.9999999999999998,25,25.0,25,0.002089193809865821,0.0008171396051239307,0.0007975318489617638,0.0008387034682201418,0.000817791640768612,3.872604773136239e-06,0.0008090312001415938,0.0008265520813956302,0.0007519028340578233,4.078356341587865e-05,0.00014565702718741794,5.61450179617049,8,10,0.0006528644166515716,0.0011075809578289767,0.0014635140655856994,False,nonstationary,"{""duration"": 250}","{""complete_final_plateau_core"": 250}",103.62378680000256
21,-0.25,-9534733.703645023,-1517500.0,-1.5175,10,10,8,250,250,250,0,0,0,0,1.0,1.0,0.0,1.0,1.0,0.9848667005045553,0.9999999999999998,25,25.0,25,0.002089193809865821,0.0009282938547079501,0.0009264204730423459,0.0009464341213366497,0.0009337161496956488,7.928686808674854e-06,0.0009157802140382213,0.0009516520853530763,0.0009435347831663725,4.223867293319789e-05,0.00014565702718741794,6.410374890421384,8,10,0.0007825864938072984,0.0013631693258403573,0.0018268561535329996,False,nonstationary,"{""duration"": 250}","{""complete_final_plateau_core"": 250}",103.62644250000085
22,-0.2,-7627786.962916018,-1214000.0000000002,-1.2140000000000002,10,10,7,250,250,244,6,0,0,0,1.0,0.9760000000000002,0.008844332774281066,0.9559927292627046,0.9960072707372958,0.9486378761864735,0.9889552226938632,23,24.5,25,0.0021040201127917506,0.001128067574643061,0.0011558404185332241,0.0011513112502287526,0.0011450730811350125,6.476664753314252e-06,0.001130421847570953,0.001159724314699072,0.001057434523389422,4.779350827387893e-05,0.00014565702718741794,7.861433830182726,7,10,0.0010364894893542405,0.0018242876290451473,0.002604009278767204,False,nonstationary,"{""duration"": 250}","{""complete_final_plateau_core"": 244, ""complete_outside_final_plateau_core"": 6}",103.46656380000059
23,-0.15,-5720840.222187013,-910500.0,-0.9105000000000001,10,10,7,250,250,226,24,0,0,0,1.0,0.9040000000000001,0.017074997966487593,0.8653736710418998,0.9426263289581005,0.8611341747864028,0.934638119221278,20,23.0,24,0.002070697380081189,0.0014576765643360054,0.0014751584525408477,0.0015681334686388608,0.0015003228285052378,1.673297464819249e-05,0.0014624702100465318,0.0015381754469639439,0.001451907822077386,9.806456828704618e-05,0.00014565702718741794,10.300380678336664,7,10,0.0012650826223126962,0.0020373956446031044,0.0022951678870500682,False,nonstationary,"{""duration"": 250}","{""complete_final_plateau_core"": 226, ""complete_outside_final_plateau_core"": 24}",103.97159319999992
24,-0.1,-3813893.481458009,-607000.0000000001,-0.6070000000000001,10,10,5,250,250,157,93,0,0,0,1.0,0.628,0.01583245611605056,0.5921844959891931,0.6638155040108069,0.5665723240737058,0.6855535512554604,14,15.5,17,0.002136249076649344,0.002361541899527011,0.0021340657615277906,0.002366021450340931,0.002287209703798577,2.7760095881272697e-05,0.002224412004055189,0.0023500074035419645,0.002484029569245154,0.00016331634393994583,0.00014565702718741794,15.702707572464785,5,10,0.001748164023165898,0.00256656296018663,0.0035915587518278768,False,nonstationary,"{""duration"": 250}","{""complete_final_plateau_core"": 157, ""complete_outside_final_plateau_core"": 93}",103.7125558000007
