point_index,detuning_n,ensemble_index,requested_atom_count,successful_atom_count,complete_atom_count,trapped_atom_count,aligned_trapped_atom_count,complete_outside_core_count,escaped_atom_count,other_incomplete_atom_count,failed_atom_count,duration_complete_fraction,trapped_fraction,initial_temperature_x_k,initial_temperature_y_k,initial_temperature_z_k,initial_temperature_mean_k,plateau_temperature_x_k,plateau_temperature_y_k,plateau_temperature_z_k,plateau_temperature_mean_k,final_temperature_x_k,final_temperature_y_k,final_temperature_z_k,final_temperature_mean_k,plateau_window_1_mean_k,plateau_window_2_mean_k,plateau_window_3_mean_k,plateau_window_4_mean_k,stationarity_metric,relative_drift,stationarity_pass,statistics_pass,survivor_conditioning_warning,valid,quality_status,plateau_max_radius_median_m,plateau_max_radius_p90_m,plateau_max_radius_max_m,termination_counts_json,boundedness_counts_json
1,-9.0,0,25,25,25,10,10,15,0,0,0,1.0,0.4,0.0025099517693636937,0.0010111403228718098,0.0031126048377973174,0.0022112323100109406,0.001848912827627451,0.0008451245318058148,0.0015722344350162934,0.0014220905981498532,0.002800301259750771,0.0006159109826981049,0.003299676387633041,0.002238629543360639,0.0012611199484752077,0.0014818788084347903,0.0010874754802320341,0.0018942046185663412,0.5672839264839143,0.3820437672394878,False,True,True,False,nonstationary,0.0020620786108984913,0.0024851850370934832,0.003001320962271472,"{""duration"": 25}","{""complete_final_plateau_core"": 10, ""complete_outside_final_plateau_core"": 15}"
1,-9.0,1,25,25,25,10,10,15,0,0,0,1.0,0.4,0.0007746842771162145,0.0020077636796581614,0.0009346636243289162,0.0012390371937010974,0.0015994025163199364,0.001952817561286529,0.0011727850065024108,0.0015750016947029587,0.002347412857001956,0.0016843244210636263,0.0030876525747485866,0.002373129950938056,0.0012583917219950393,0.0014047562957411883,0.001763459610986246,0.0018982656047048967,0.40626869473339583,0.575528340748332,False,True,True,False,nonstationary,0.0021540231430860215,0.0029520176048968517,0.0031754258670192975,"{""duration"": 25}","{""complete_final_plateau_core"": 10, ""complete_outside_final_plateau_core"": 15}"
1,-9.0,2,25,25,25,7,7,18,0,0,0,1.0,0.28,0.0041308635095338225,0.0033424813421195796,0.0009037337346526606,0.0027923595287686876,0.0019320477675595343,0.0012024586025914698,0.002486142497306073,0.0018735496224856925,0.001251470139433541,0.0006202881225029264,0.0013584683634738685,0.001076742208470112,0.0022762887064324967,0.0022035145601709753,0.0017112037040793943,0.001255661677324419,0.5447558030269742,-0.6483496992110206,False,True,True,False,nonstationary,0.0022204936386317118,0.0028377590164289815,0.004107633385222308,"{""duration"": 25}","{""complete_final_plateau_core"": 7, ""complete_outside_final_plateau_core"": 18}"
1,-9.0,3,25,25,25,11,11,14,0,0,0,1.0,0.44,0.001624673568538685,0.0011206677960264033,0.0015463632884900847,0.0014305682176850576,0.0012772652974022485,0.0012670659668139448,0.0011513535036729253,0.0012318949226297062,0.0018381851720119572,0.0008226650313304441,0.0011761406935368768,0.001278996965626426,0.0010912367215663876,0.0009432738683934212,0.0014720320169881278,0.0014367989303159855,0.4292234174210046,0.44840407517452735,False,True,True,False,nonstationary,0.0020527626127966624,0.0026275464153145463,0.002827486837080533,"{""duration"": 25}","{""complete_final_plateau_core"": 11, ""complete_outside_final_plateau_core"": 14}"
1,-9.0,4,25,25,25,8,8,17,0,0,0,1.0,0.32,0.002843626935141129,0.0023506153630359697,0.0035822974365843233,0.002925513244920474,0.0015242738756683293,0.001408047977388599,0.0015409879842265839,0.0014911032790945042,0.0025312419350428834,0.002394361260026404,0.0021007865832288887,0.002342129926099392,0.0013898227589594682,0.0007893360850782719,0.0017187869886383918,0.002114414284085833,0.8886562169001706,0.7672893181097187,False,True,True,False,nonstationary,0.002284515956497273,0.002784221153084347,0.0030782717760683646,"{""duration"": 25}","{""complete_final_plateau_core"": 8, ""complete_outside_final_plateau_core"": 17}"
1,-9.0,5,25,25,25,11,11,14,0,0,0,1.0,0.44,0.0009219074619785414,0.0022059663279414368,0.003924238558646989,0.002350704116188989,0.00089885295135268,0.0017000900043329203,0.001714917306637692,0.0014379534207744308,0.00039284634828004817,0.0013009173443165453,0.0030417711209254506,0.0015785116045073481,0.001290455279335338,0.001811371972130765,0.0014624609803130862,0.0011666564538638745,0.4483563298730981,-0.14249742607900512,False,True,True,False,nonstationary,0.002093990872380963,0.0025632666073679123,0.003347825885580694,"{""duration"": 25}","{""complete_final_plateau_core"": 11, ""complete_outside_final_plateau_core"": 14}"
1,-9.0,6,25,25,25,11,11,14,0,0,0,1.0,0.44,0.0014379953415470284,0.001380190865544393,0.004758214079165231,0.002525466762085551,0.0013428888693840962,0.0017812578659940467,0.0014160048872606634,0.0015133838742129354,0.0010222730687406414,0.001061105368488545,0.0014597421748384148,0.0011810402040225336,0.0016458405312291082,0.0012470105341196923,0.0015312578105191005,0.0016390968498814164,0.2635352496516029,0.03551213962495953,False,True,True,False,nonstationary,0.002084832632307937,0.0029148274448195636,0.0036458982917100344,"{""duration"": 25}","{""complete_final_plateau_core"": 11, ""complete_outside_final_plateau_core"": 14}"
1,-9.0,7,25,25,25,7,7,18,0,0,0,1.0,0.28,0.001723301539832653,0.0013866528698496024,0.0003328896691875719,0.0011476146929566091,0.001548642777448726,0.0011768288091716557,0.0007523295559229011,0.0011592670475144276,0.0009642678934667086,0.000862352165220239,0.0013070043135293577,0.001044541457405435,0.0010936781424035354,0.0013360187209636458,0.001022160214344297,0.0011873731177488819,0.27073874591043506,0.042502194595539396,False,True,True,False,nonstationary,0.0023383087602923862,0.003025667649579959,0.004191641958913759,"{""duration"": 25}","{""complete_final_plateau_core"": 7, ""complete_outside_final_plateau_core"": 18}"
1,-9.0,8,25,25,25,14,14,11,0,0,0,1.0,0.56,0.0024322554499010282,0.001621567273240162,0.002598804686926492,0.0022175424700225607,0.0010870481774085162,0.0016538620820337462,0.0014614093178656213,0.0014007731924359612,0.0018179466784436565,0.0027035897846884225,0.0015910368091023666,0.0020375244240781487,0.0013233464784262832,0.0015401731818144948,0.0011594635011854934,0.0015950543096410412,0.31096455215426433,0.10186367275267057,False,True,True,False,nonstationary,0.0018691772216166947,0.0027227480888932973,0.004714242238114349,"{""duration"": 25}","{""complete_final_plateau_core"": 14, ""complete_outside_final_plateau_core"": 11}"
1,-9.0,9,25,25,25,9,9,16,0,0,0,1.0,0.36,0.0010772707757272094,0.0005294716248909546,0.0013178907944630927,0.0009748777316937523,0.0012762225401865427,0.0012352260045973306,0.0019442787777013818,0.0014852424408284184,0.002535274879044038,0.0008656378847533819,0.0021220268401840724,0.0018409798679938309,0.0016839618450403251,0.0014171127253302658,0.0012254332934630075,0.0016252301877010468,0.3087230333396383,-0.09615855392371925,False,True,True,False,nonstationary,0.0022456806891787712,0.0028121250280681805,0.0032344608391248067,"{""duration"": 25}","{""complete_final_plateau_core"": 9, ""complete_outside_final_plateau_core"": 16}"
