time_s,x_m,vx_m_per_s,Fx_n,effective_field_proxy_x_t,quantization_axis_x,y_m,vy_m_per_s,Fy_n,effective_field_proxy_y_t,quantization_axis_y,z_m,vz_m_per_s,Fz_n,effective_field_proxy_z_t,quantization_axis_z,radius_m,speed_m_per_s,total_780_scattering_rate_per_s,reference_vector_shift_hz,applied_reference_transition_shift_hz,total_trapping_intensity_w_per_m2,cooling_x_incident_absorption_rate_per_s,cooling_x_retro_absorption_rate_per_s,cooling_y_incident_absorption_rate_per_s,cooling_y_retro_absorption_rate_per_s,cooling_z_incident_absorption_rate_per_s,cooling_z_retro_absorption_rate_per_s,repump_x_incident_absorption_rate_per_s,repump_x_retro_absorption_rate_per_s,repump_y_incident_absorption_rate_per_s,repump_y_retro_absorption_rate_per_s,repump_z_incident_absorption_rate_per_s,repump_z_retro_absorption_rate_per_s,effective_field_proxy_magnitude_t
0.0037749999999998883,1.088841439045644e-06,-0.0020563405180922135,2.737857643474292e-25,2.168485264481919e-07,0.7160988741503436,0.0,0.0,0.0,0.0,0.0,-1.05726387499566e-06,0.00019024206534467065,1.2820965426689492e-24,2.1136749234851814e-07,0.697998855615545,1.5176898829318945e-06,0.002065121877704645,25205877.627894055,4238.26647523764,4238.266477834508,30797.955429259033,4007195.7969689528,4006873.18198693,4532086.952684924,4532086.952684924,4038219.9514851063,4036711.022897232,8752.482937443077,8752.806081872699,8841.039838733279,8841.039838733279,8758.357727595478,8758.042761605757,3.0281925342430437e-07
0.003777499999999888,1.083712444786125e-06,-0.002051597703807576,2.7726641590566933e-25,2.158248415391269e-07,0.7145996616938175,0.0,0.0,0.0,0.0,0.0,-1.05679403672379e-06,0.00018793530874797453,1.2828905985902872e-24,2.1127457322249835e-07,0.6995336471586493,1.5136863278233318e-06,0.0020601875687768613,25205945.900108166,4227.108535686684,4227.108538276715,30797.955530451585,4009766.3656235225,4009439.654336175,4532084.5614694,4532084.5614694,4035688.440455905,4034178.5774622327,8752.946387864995,8753.268524498597,8841.031771464539,8841.031771464539,8757.888067005311,8757.57276922389,3.0202203150720323e-07
0.003779999999999888,1.0785954583013817e-06,-0.0020467945938973807,2.806734028643467e-25,2.1480358807948098e-07,0.7130913522575525,0.0,0.0,0.0,0.0,0.0,-1.0563299309546647e-06,0.00018564230765012802,1.283683407157446e-24,2.111827507505928e-07,0.7010711257322577,1.5097023169151774e-06,0.002055196140517301,25206001.87983046,4216.0051849412785,4216.005187524506,30797.95563088482,4012343.6372415307,4012012.9163502534,4532082.601107517,4532082.601107517,4033143.602571781,4031632.806656894,8753.412294150568,8753.73343723293,8841.0251637666,8841.0251637666,8757.417190934517,8757.101545118221,3.012287098973243e-07
0.003782499999999888,1.0734906271402322e-06,-0.002041932464459805,2.8400747139015307e-25,2.137848055453214e-07,0.7115738806520762,0.0,0.0,0.0,0.0,0.0,-1.055871523353557e-06,0.00018336304044310768,1.2844753795889065e-24,2.1109208782800517e-07,0.7026112811318538,1.5057379587388004e-06,0.002050148822406665,25206045.418653894,4204.957505976198,4204.957508552657,30797.95573055988,4014927.5935685956,4014592.948896571,4532081.076791484,4532081.076791484,4030585.3773399577,4029073.649504433,8753.880666193409,8754.200829814585,8841.020033240027,8841.020033240027,8756.945104520586,8756.629094360582,3.0043936597196637e-07
0.003784999999999888,1.0683980956935643e-06,-0.002037012578667118,2.872696567440019e-25,2.127684929080918e-07,0.7100472489996632,0.0,0.0,0.0,0.0,0.0,-1.0554187796219508e-06,0.00018109749264246306,1.2852663546720366e-24,2.1100256763120301e-07,0.7041540344186139,1.5017933583753533e-06,0.0020450468325907472,25206076.36622482,4193.965395252522,4193.965397822245,30797.95582947805,4017518.1010271707,4017179.6171792187,4532079.9937836565,4532079.9937836565,4028013.8183802124,4026501.1598142534,8754.351493001774,8754.670690941952,8841.016397721638,8841.016397721638,8756.471833966105,8756.155443300027,2.9965399233339295e-07
0.0037874999999998877,1.0633180052391702e-06,-0.002032036181757674,2.904603479482504e-25,2.117547282658265e-07,0.7085116255141035,0.0,0.0,0.0,0.0,0.0,-1.0549716655045232e-06,0.00017884564697104346,1.286056133884644e-24,2.1091415340842044e-07,0.705699140222916,1.4978686174972743e-06,0.0020398913719639087,25206094.572354376,4183.029335262016,4183.029337825038,30797.955927640687,4020114.7455358636,4019772.5066590495,4532079.357342685,4532079.357342685,4025429.259500022,4023915.671627353,8754.82471224379,8755.142958092338,8841.014275032045,8841.014275032045,8755.997456735056,8755.680669575288,2.988726234550845e-07
0.0037899999999998876,1.0582504939585933e-06,-0.0020270045122307606,2.9358090101181604e-25,2.1074346948453512e-07,0.7069668813130258,0.0,0.0,0.0,0.0,0.0,-1.0545301467977415e-06,0.00017660748271268123,1.2868447790593949e-24,2.1082686821084988e-07,0.707246653386592,1.4939638343912052e-06,0.0020346836352499553,25206099.89368285,4172.149200427106,4172.149202983463,30797.956025049243,4022717.616930142,4022371.7055756114,4532079.172489984,4532079.172489984,4022831.5349655845,4021317.0191370845,8755.300353005645,8755.617660017942,8841.013682187779,8841.013682187779,8755.521958322548,8755.204758739308,2.9809525036466825e-07
0.0037924999999998875,1.0531956969958547e-06,-0.002021918785095406,2.9663184852721496e-25,2.0973477349812622e-07,0.7054131705136818,0.0,0.0,0.0,0.0,0.0,-1.0540941893471857e-06,0.00017438298022234128,1.2876320083587498e-24,2.1074066535123348e-07,0.7087963451273117,1.4900791040028998e-06,0.002029424794692552,25206092.186535407,4161.325156583781,4161.325159133505,30797.95612170526,4025326.327515729,4024976.8256079117,4532079.44426027,4532079.44426027,4020220.955715064,4018705.5136131747,8755.77835707516,8756.09473827282,8841.014636244825,8841.014636244825,8755.045411440702,8754.727783710921,2.9732188491093435e-07
0.0037949999999998874,1.0481537464805185e-06,-0.002016780206134493,2.996138231473464e-25,2.0872868665693675e-07,0.7038504989990645,0.0,0.0,0.0,0.0,0.0,-1.0536637590597538e-06,0.00017217211497269267,1.2884180546952975e-24,2.1065557787636758e-07,0.7103481365209372,1.4862145179674021e-06,0.002024116013727982,25206071.311270807,4150.558048493614,4150.558051036741,30797.95621761035,4027940.740729707,4027587.7294484605,4532080.177549212,4532080.177549212,4017597.5840738015,4016081.217106779,8756.258711695315,8756.574179934345,8841.017153785844,8841.017153785844,8754.567843013872,8754.249771423401,2.965525874511232e-07
0.0037974999999998873,1.0431247715550901e-06,-0.002011589970171403,3.0252791116026685e-25,2.0772519493221445e-07,0.7022788894753172,0.0,0.0,0.0,0.0,0.0,-1.053238821893576e-06,0.00016997486647116918,1.2892026247594908e-24,2.1057156907719132e-07,0.7119019324298222,1.48237016462678e-06,0.0020187584460073667,25206037.130367696,4139.847430643985,4139.847433180549,30797.95631276624,4030560.692467199,4030204.251713978,4532081.37718053,4532081.37718053,4014961.510998714,4013444.220919885,8756.74139886934,8757.055966663365,8841.021251147613,8841.021251147613,8754.089284996824,8753.770754033725,2.9578732615387165e-07
