time_s,trapping_x_incident_beq_x_t,trapping_x_incident_beq_y_t,trapping_x_incident_beq_z_t,trapping_x_retro_beq_x_t,trapping_x_retro_beq_y_t,trapping_x_retro_beq_z_t,trapping_y_incident_beq_x_t,trapping_y_incident_beq_y_t,trapping_y_incident_beq_z_t,trapping_y_retro_beq_x_t,trapping_y_retro_beq_y_t,trapping_y_retro_beq_z_t,trapping_z_incident_beq_x_t,trapping_z_incident_beq_y_t,trapping_z_incident_beq_z_t,trapping_z_retro_beq_x_t,trapping_z_retro_beq_y_t,trapping_z_retro_beq_z_t
0.02126249999999993,-0.0005000002699697025,-0.0,-0.0,0.0005000002699697025,0.0,0.0,-0.0,-0.0005000002699697025,-0.0,0.0,0.0005000002699697025,0.0,0.0,0.0,0.0005001084608942789,-0.0,-0.0,-0.0004998926045082606
0.02126499999999993,-0.0005000002699697025,-0.0,-0.0,0.0005000002699697025,0.0,0.0,-0.0,-0.0005000002699697025,-0.0,0.0,0.0005000002699697025,0.0,0.0,0.0,0.0005001084608942789,-0.0,-0.0,-0.0004998926045082606
0.02126749999999993,-0.0005000002699697025,-0.0,-0.0,0.0005000002699697025,0.0,0.0,-0.0,-0.0005000002699697025,-0.0,0.0,0.0005000002699697025,0.0,0.0,0.0,0.0005001084608942789,-0.0,-0.0,-0.0004998926045082606
0.021269999999999928,-0.0005000002699697025,-0.0,-0.0,0.0005000002699697025,0.0,0.0,-0.0,-0.0005000002699697025,-0.0,0.0,0.0005000002699697025,0.0,0.0,0.0,0.0005001084608942789,-0.0,-0.0,-0.0004998926045082606
0.021272499999999927,-0.0005000002699697025,-0.0,-0.0,0.0005000002699697025,0.0,0.0,-0.0,-0.0005000002699697025,-0.0,0.0,0.0005000002699697025,0.0,0.0,0.0,0.0005001084608942789,-0.0,-0.0,-0.0004998926045082606
0.021274999999999926,-0.0005000002699697025,-0.0,-0.0,0.0005000002699697025,0.0,0.0,-0.0,-0.0005000002699697025,-0.0,0.0,0.0005000002699697025,0.0,0.0,0.0,0.0005001084608942789,-0.0,-0.0,-0.0004998926045082606
0.021277499999999925,-0.0005000002699697025,-0.0,-0.0,0.0005000002699697025,0.0,0.0,-0.0,-0.0005000002699697025,-0.0,0.0,0.0005000002699697025,0.0,0.0,0.0,0.0005001084608942789,-0.0,-0.0,-0.0004998926045082606
0.021279999999999924,-0.0005000002699697025,-0.0,-0.0,0.0005000002699697025,0.0,0.0,-0.0,-0.0005000002699697025,-0.0,0.0,0.0005000002699697025,0.0,0.0,0.0,0.0005001084608942789,-0.0,-0.0,-0.0004998926045082606
0.021282499999999923,-0.0005000002699697025,-0.0,-0.0,0.0005000002699697025,0.0,0.0,-0.0,-0.0005000002699697025,-0.0,0.0,0.0005000002699697025,0.0,0.0,0.0,0.0005001084608942789,-0.0,-0.0,-0.0004998926045082606
0.021284999999999922,-0.0005000002699697025,-0.0,-0.0,0.0005000002699697025,0.0,0.0,-0.0,-0.0005000002699697025,-0.0,0.0,0.0005000002699697025,0.0,0.0,0.0,0.0005001084608942789,-0.0,-0.0,-0.0004998926045082606
0.02128749999999992,-0.0005000002699697025,-0.0,-0.0,0.0005000002699697025,0.0,0.0,-0.0,-0.0005000002699697025,-0.0,0.0,0.0005000002699697025,0.0,0.0,0.0,0.0005001084608942789,-0.0,-0.0,-0.0004998926045082606
0.02128999999999992,-0.0005000002699697025,-0.0,-0.0,0.0005000002699697025,0.0,0.0,-0.0,-0.0005000002699697025,-0.0,0.0,0.0005000002699697025,0.0,0.0,0.0,0.0005001084608942789,-0.0,-0.0,-0.0004998926045082606
0.02129249999999992,-0.0005000002699697025,-0.0,-0.0,0.0005000002699697025,0.0,0.0,-0.0,-0.0005000002699697025,-0.0,0.0,0.0005000002699697025,0.0,0.0,0.0,0.0005001084608942789,-0.0,-0.0,-0.0004998926045082606
0.021294999999999918,-0.0005000002699697025,-0.0,-0.0,0.0005000002699697025,0.0,0.0,-0.0,-0.0005000002699697025,-0.0,0.0,0.0005000002699697025,0.0,0.0,0.0,0.0005001084608942789,-0.0,-0.0,-0.0004998926045082606
0.021297499999999917,-0.0005000002699697025,-0.0,-0.0,0.0005000002699697025,0.0,0.0,-0.0,-0.0005000002699697025,-0.0,0.0,0.0005000002699697025,0.0,0.0,0.0,0.0005001084608942789,-0.0,-0.0,-0.0004998926045082606
0.021299999999999916,-0.0005000002699697025,-0.0,-0.0,0.0005000002699697025,0.0,0.0,-0.0,-0.0005000002699697025,-0.0,0.0,0.0005000002699697025,0.0,0.0,0.0,0.0005001084608942789,-0.0,-0.0,-0.0004998926045082606
0.021302499999999915,-0.0005000002699697025,-0.0,-0.0,0.0005000002699697025,0.0,0.0,-0.0,-0.0005000002699697025,-0.0,0.0,0.0005000002699697025,0.0,0.0,0.0,0.0005001084608942789,-0.0,-0.0,-0.0004998926045082606
0.021304999999999914,-0.0005000002699697025,-0.0,-0.0,0.0005000002699697025,0.0,0.0,-0.0,-0.0005000002699697025,-0.0,0.0,0.0005000002699697025,0.0,0.0,0.0,0.0005001084608942789,-0.0,-0.0,-0.0004998926045082606
