time_s,cooling_x_incident_sigma_plus_fraction,cooling_x_incident_pi_fraction,cooling_x_incident_sigma_minus_fraction,cooling_x_retro_sigma_plus_fraction,cooling_x_retro_pi_fraction,cooling_x_retro_sigma_minus_fraction,cooling_y_incident_sigma_plus_fraction,cooling_y_incident_pi_fraction,cooling_y_incident_sigma_minus_fraction,cooling_y_retro_sigma_plus_fraction,cooling_y_retro_pi_fraction,cooling_y_retro_sigma_minus_fraction,cooling_z_incident_sigma_plus_fraction,cooling_z_incident_pi_fraction,cooling_z_incident_sigma_minus_fraction,cooling_z_retro_sigma_plus_fraction,cooling_z_retro_pi_fraction,cooling_z_retro_sigma_minus_fraction,repump_x_incident_sigma_plus_fraction,repump_x_incident_pi_fraction,repump_x_incident_sigma_minus_fraction,repump_x_retro_sigma_plus_fraction,repump_x_retro_pi_fraction,repump_x_retro_sigma_minus_fraction,repump_y_incident_sigma_plus_fraction,repump_y_incident_pi_fraction,repump_y_incident_sigma_minus_fraction,repump_y_retro_sigma_plus_fraction,repump_y_retro_pi_fraction,repump_y_retro_sigma_minus_fraction,repump_z_incident_sigma_plus_fraction,repump_z_incident_pi_fraction,repump_z_incident_sigma_minus_fraction,repump_z_retro_sigma_plus_fraction,repump_z_retro_pi_fraction,repump_z_retro_sigma_minus_fraction,trapping_x_incident_sigma_plus_fraction,trapping_x_incident_pi_fraction,trapping_x_incident_sigma_minus_fraction,trapping_x_retro_sigma_plus_fraction,trapping_x_retro_pi_fraction,trapping_x_retro_sigma_minus_fraction,trapping_y_incident_sigma_plus_fraction,trapping_y_incident_pi_fraction,trapping_y_incident_sigma_minus_fraction,trapping_y_retro_sigma_plus_fraction,trapping_y_retro_pi_fraction,trapping_y_retro_sigma_minus_fraction,trapping_z_incident_sigma_plus_fraction,trapping_z_incident_pi_fraction,trapping_z_incident_sigma_minus_fraction,trapping_z_retro_sigma_plus_fraction,trapping_z_retro_pi_fraction,trapping_z_retro_sigma_minus_fraction
0.0013074999999999888,0.25000000000000994,0.5,0.24999999999999,0.24999999999999,0.5,0.25000000000000994,0.2500000000003718,0.5000000000000001,0.24999999999962816,0.24999999999962816,0.5000000000000001,0.2500000000003718,5.465108969857684e-53,2.766867013969235e-25,1.0,1.0,2.766867013969235e-25,5.465108969857684e-53,0.25000000000000994,0.5,0.24999999999999,0.24999999999999,0.5,0.25000000000000994,0.2500000000003718,0.5000000000000001,0.24999999999962816,0.24999999999962816,0.5000000000000001,0.2500000000003718,5.465108969857684e-53,2.766867013969235e-25,1.0,1.0,2.766867013969235e-25,5.465108969857684e-53,0.25000000000000994,0.5,0.24999999999999,0.24999999999999,0.5,0.25000000000000994,0.2500000000003718,0.5000000000000001,0.24999999999962816,0.24999999999962816,0.5000000000000001,0.2500000000003718,5.465108969857684e-53,2.766867013969235e-25,1.0,1.0,2.766867013969235e-25,5.465108969857684e-53
0.0013099999999999887,0.2500000000000103,0.5000000000000001,0.24999999999998962,0.24999999999998962,0.5000000000000001,0.2500000000000103,0.25000000000039646,0.5000000000000001,0.24999999999960348,0.24999999999960348,0.5000000000000001,0.25000000000039646,6.760290539669435e-53,3.1464085280863623e-25,1.0,1.0,3.1464085280863623e-25,6.760290539669435e-53,0.2500000000000103,0.5000000000000001,0.24999999999998962,0.24999999999998962,0.5000000000000001,0.2500000000000103,0.25000000000039646,0.5000000000000001,0.24999999999960348,0.24999999999960348,0.5000000000000001,0.25000000000039646,6.760290539669435e-53,3.1464085280863623e-25,1.0,1.0,3.1464085280863623e-25,6.760290539669435e-53,0.2500000000000103,0.5000000000000001,0.24999999999998962,0.24999999999998962,0.5000000000000001,0.2500000000000103,0.25000000000039646,0.5000000000000001,0.24999999999960348,0.24999999999960348,0.5000000000000001,0.25000000000039646,6.760290539669435e-53,3.1464085280863623e-25,1.0,1.0,3.1464085280863623e-25,6.760290539669435e-53
0.0013124999999999886,0.25000000000001077,0.5000000000000001,0.24999999999998918,0.24999999999998918,0.5000000000000001,0.25000000000001077,0.2500000000004228,0.5000000000000001,0.2499999999995772,0.2499999999995772,0.5000000000000001,0.2500000000004228,8.358758090450847e-53,3.5770167286872974e-25,1.0,1.0,3.5770167286872974e-25,8.358758090450847e-53,0.25000000000001077,0.5000000000000001,0.24999999999998918,0.24999999999998918,0.5000000000000001,0.25000000000001077,0.2500000000004228,0.5000000000000001,0.2499999999995772,0.2499999999995772,0.5000000000000001,0.2500000000004228,8.358758090450847e-53,3.5770167286872974e-25,1.0,1.0,3.5770167286872974e-25,8.358758090450847e-53,0.25000000000001077,0.5000000000000001,0.24999999999998918,0.24999999999998918,0.5000000000000001,0.25000000000001077,0.2500000000004228,0.5000000000000001,0.2499999999995772,0.2499999999995772,0.5000000000000001,0.2500000000004228,8.358758090450847e-53,3.5770167286872974e-25,1.0,1.0,3.5770167286872974e-25,8.358758090450847e-53
0.0013149999999999885,0.25000000000001127,0.5,0.24999999999998868,0.24999999999998868,0.5,0.25000000000001127,0.2500000000004507,0.5,0.24999999999954925,0.24999999999954925,0.5,0.2500000000004507,1.0330693054164438e-52,4.065432226695861e-25,1.0,1.0,4.065432226695861e-25,1.0330693054164438e-52,0.25000000000001127,0.5,0.24999999999998868,0.24999999999998868,0.5,0.25000000000001127,0.2500000000004507,0.5,0.24999999999954925,0.24999999999954925,0.5,0.2500000000004507,1.0330693054164438e-52,4.065432226695861e-25,1.0,1.0,4.065432226695861e-25,1.0330693054164438e-52,0.25000000000001127,0.5,0.24999999999998868,0.24999999999998868,0.5,0.25000000000001127,0.2500000000004507,0.5,0.24999999999954925,0.24999999999954925,0.5,0.2500000000004507,1.0330693054164438e-52,4.065432226695861e-25,1.0,1.0,4.065432226695861e-25,1.0330693054164438e-52
0.0013174999999999884,0.25000000000001177,0.5000000000000001,0.2499999999999882,0.2499999999999882,0.5000000000000001,0.25000000000001177,0.2500000000004804,0.5000000000000001,0.24999999999951955,0.24999999999951955,0.5000000000000001,0.2500000000004804,1.2762327657926992e-52,4.619268649156826e-25,1.0,1.0,4.619268649156826e-25,1.2762327657926992e-52,0.25000000000001177,0.5000000000000001,0.2499999999999882,0.2499999999999882,0.5000000000000001,0.25000000000001177,0.2500000000004804,0.5000000000000001,0.24999999999951955,0.24999999999951955,0.5000000000000001,0.2500000000004804,1.2762327657926992e-52,4.619268649156826e-25,1.0,1.0,4.619268649156826e-25,1.2762327657926992e-52,0.25000000000001177,0.5000000000000001,0.2499999999999882,0.2499999999999882,0.5000000000000001,0.25000000000001177,0.2500000000004804,0.5000000000000001,0.24999999999951955,0.24999999999951955,0.5000000000000001,0.2500000000004804,1.2762327657926992e-52,4.619268649156826e-25,1.0,1.0,4.619268649156826e-25,1.2762327657926992e-52
0.0013199999999999883,0.2500000000000122,0.5000000000000001,0.24999999999998773,0.24999999999998773,0.5000000000000001,0.2500000000000122,0.25000000000051203,0.5000000000000001,0.24999999999948794,0.24999999999948794,0.5000000000000001,0.25000000000051203,1.5759573422848536e-52,5.24712360064678e-25,1.0,1.0,5.24712360064678e-25,1.5759573422848536e-52,0.2500000000000122,0.5000000000000001,0.24999999999998773,0.24999999999998773,0.5000000000000001,0.2500000000000122,0.25000000000051203,0.5000000000000001,0.24999999999948794,0.24999999999948794,0.5000000000000001,0.25000000000051203,1.5759573422848536e-52,5.24712360064678e-25,1.0,1.0,5.24712360064678e-25,1.5759573422848536e-52,0.2500000000000122,0.5000000000000001,0.24999999999998773,0.24999999999998773,0.5000000000000001,0.2500000000000122,0.25000000000051203,0.5000000000000001,0.24999999999948794,0.24999999999948794,0.5000000000000001,0.25000000000051203,1.5759573422848536e-52,5.24712360064678e-25,1.0,1.0,5.24712360064678e-25,1.5759573422848536e-52
0.0013224999999999882,0.25000000000001277,0.5000000000000001,0.2499999999999872,0.2499999999999872,0.5000000000000001,0.25000000000001277,0.2500000000005457,0.5000000000000001,0.2499999999994543,0.2499999999994543,0.5000000000000001,0.2500000000005457,1.9452460590422472e-52,5.958703475277719e-25,1.0,1.0,5.958703475277719e-25,1.9452460590422472e-52,0.25000000000001277,0.5000000000000001,0.2499999999999872,0.2499999999999872,0.5000000000000001,0.25000000000001277,0.2500000000005457,0.5000000000000001,0.2499999999994543,0.2499999999994543,0.5000000000000001,0.2500000000005457,1.9452460590422472e-52,5.958703475277719e-25,1.0,1.0,5.958703475277719e-25,1.9452460590422472e-52,0.25000000000001277,0.5000000000000001,0.2499999999999872,0.2499999999999872,0.5000000000000001,0.25000000000001277,0.2500000000005457,0.5000000000000001,0.2499999999994543,0.2499999999994543,0.5000000000000001,0.2500000000005457,1.9452460590422472e-52,5.958703475277719e-25,1.0,1.0,5.958703475277719e-25,1.9452460590422472e-52
0.001324999999999988,0.2500000000000133,0.5000000000000001,0.24999999999998665,0.24999999999998665,0.5000000000000001,0.2500000000000133,0.2500000000005814,0.5000000000000001,0.24999999999941855,0.24999999999941855,0.5000000000000001,0.2500000000005814,2.4000567600246947e-52,6.764963799916292e-25,1.0,1.0,6.764963799916292e-25,2.4000567600246947e-52,0.2500000000000133,0.5000000000000001,0.24999999999998665,0.24999999999998665,0.5000000000000001,0.2500000000000133,0.2500000000005814,0.5000000000000001,0.24999999999941855,0.24999999999941855,0.5000000000000001,0.2500000000005814,2.4000567600246947e-52,6.764963799916292e-25,1.0,1.0,6.764963799916292e-25,2.4000567600246947e-52,0.2500000000000133,0.5000000000000001,0.24999999999998665,0.24999999999998665,0.5000000000000001,0.2500000000000133,0.2500000000005814,0.5000000000000001,0.24999999999941855,0.24999999999941855,0.5000000000000001,0.2500000000005814,2.4000567600246947e-52,6.764963799916292e-25,1.0,1.0,6.764963799916292e-25,2.4000567600246947e-52
0.001327499999999988,0.2500000000000139,0.5000000000000001,0.2499999999999861,0.2499999999999861,0.5000000000000001,0.2500000000000139,0.25000000000061945,0.5,0.2499999999993805,0.2499999999993805,0.5,0.25000000000061945,2.9599658975372164e-52,7.678267024127614e-25,1.0,1.0,7.678267024127614e-25,2.9599658975372164e-52,0.2500000000000139,0.5000000000000001,0.2499999999999861,0.2499999999999861,0.5000000000000001,0.2500000000000139,0.25000000000061945,0.5,0.2499999999993805,0.2499999999993805,0.5,0.25000000000061945,2.9599658975372164e-52,7.678267024127614e-25,1.0,1.0,7.678267024127614e-25,2.9599658975372164e-52,0.2500000000000139,0.5000000000000001,0.2499999999999861,0.2499999999999861,0.5000000000000001,0.2500000000000139,0.25000000000061945,0.5,0.2499999999993805,0.2499999999993805,0.5,0.25000000000061945,2.9599658975372164e-52,7.678267024127614e-25,1.0,1.0,7.678267024127614e-25,2.9599658975372164e-52
0.0013299999999999879,0.25000000000001443,0.5000000000000001,0.2499999999999855,0.2499999999999855,0.5000000000000001,0.25000000000001443,0.25000000000065986,0.5,0.24999999999934008,0.24999999999934008,0.5,0.25000000000065986,3.648979748543783e-52,8.712559870399824e-25,1.0,1.0,8.712559870399824e-25,3.648979748543783e-52,0.25000000000001443,0.5000000000000001,0.2499999999999855,0.2499999999999855,0.5000000000000001,0.25000000000001443,0.25000000000065986,0.5,0.24999999999934008,0.24999999999934008,0.5,0.25000000000065986,3.648979748543783e-52,8.712559870399824e-25,1.0,1.0,8.712559870399824e-25,3.648979748543783e-52,0.25000000000001443,0.5000000000000001,0.2499999999999855,0.2499999999999855,0.5000000000000001,0.25000000000001443,0.25000000000065986,0.5,0.24999999999934008,0.24999999999934008,0.5,0.25000000000065986,3.648979748543783e-52,8.712559870399824e-25,1.0,1.0,8.712559870399824e-25,3.648979748543783e-52
0.0013324999999999878,0.2500000000000151,0.5000000000000001,0.24999999999998487,0.24999999999998487,0.5000000000000001,0.2500000000000151,0.25000000000070277,0.5000000000000001,0.24999999999929717,0.24999999999929717,0.5000000000000001,0.25000000000070277,4.4965254430557774e-52,9.883572636910695e-25,1.0,1.0,9.883572636910695e-25,4.4965254430557774e-52,0.2500000000000151,0.5000000000000001,0.24999999999998487,0.24999999999998487,0.5000000000000001,0.2500000000000151,0.25000000000070277,0.5000000000000001,0.24999999999929717,0.24999999999929717,0.5000000000000001,0.25000000000070277,4.4965254430557774e-52,9.883572636910695e-25,1.0,1.0,9.883572636910695e-25,4.4965254430557774e-52,0.2500000000000151,0.5000000000000001,0.24999999999998487,0.24999999999998487,0.5000000000000001,0.2500000000000151,0.25000000000070277,0.5000000000000001,0.24999999999929717,0.24999999999929717,0.5000000000000001,0.25000000000070277,4.4965254430557774e-52,9.883572636910695e-25,1.0,1.0,9.883572636910695e-25,4.4965254430557774e-52
0.0013349999999999877,0.2500000000000157,0.5,0.24999999999998423,0.24999999999998423,0.5,0.2500000000000157,0.25000000000074846,0.5,0.2499999999992515,0.2499999999992515,0.5,0.25000000000074846,5.5386612039574654e-52,1.120904311352267e-24,1.0,1.0,1.120904311352267e-24,5.5386612039574654e-52,0.2500000000000157,0.5,0.24999999999998423,0.24999999999998423,0.5,0.2500000000000157,0.25000000000074846,0.5,0.2499999999992515,0.2499999999992515,0.5,0.25000000000074846,5.5386612039574654e-52,1.120904311352267e-24,1.0,1.0,1.120904311352267e-24,5.5386612039574654e-52,0.2500000000000157,0.5,0.24999999999998423,0.24999999999998423,0.5,0.2500000000000157,0.25000000000074846,0.5,0.2499999999992515,0.2499999999992515,0.5,0.25000000000074846,5.5386612039574654e-52,1.120904311352267e-24,1.0,1.0,1.120904311352267e-24,5.5386612039574654e-52
0.0013374999999999876,0.2500000000000164,0.5,0.24999999999998357,0.24999999999998357,0.5,0.2500000000000164,0.250000000000797,0.5,0.24999999999920297,0.24999999999920297,0.5,0.250000000000797,6.819553766458664e-52,1.2708968105131561e-24,1.0,1.0,1.2708968105131561e-24,6.819553766458664e-52,0.2500000000000164,0.5,0.24999999999998357,0.24999999999998357,0.5,0.2500000000000164,0.250000000000797,0.5,0.24999999999920297,0.24999999999920297,0.5,0.250000000000797,6.819553766458664e-52,1.2708968105131561e-24,1.0,1.0,1.2708968105131561e-24,6.819553766458664e-52,0.2500000000000164,0.5,0.24999999999998357,0.24999999999998357,0.5,0.2500000000000164,0.250000000000797,0.5,0.24999999999920297,0.24999999999920297,0.5,0.250000000000797,6.819553766458664e-52,1.2708968105131561e-24,1.0,1.0,1.2708968105131561e-24,6.819553766458664e-52
0.0013399999999999875,0.2500000000000171,0.5000000000000001,0.24999999999998287,0.24999999999998287,0.5000000000000001,0.2500000000000171,0.25000000000084854,0.5000000000000001,0.24999999999915143,0.24999999999915143,0.5000000000000001,0.25000000000084854,8.393281281136901e-52,1.4405885887111534e-24,1.0,1.0,1.4405885887111534e-24,8.393281281136901e-52,0.2500000000000171,0.5000000000000001,0.24999999999998287,0.24999999999998287,0.5000000000000001,0.2500000000000171,0.25000000000084854,0.5000000000000001,0.24999999999915143,0.24999999999915143,0.5000000000000001,0.25000000000084854,8.393281281136901e-52,1.4405885887111534e-24,1.0,1.0,1.4405885887111534e-24,8.393281281136901e-52,0.2500000000000171,0.5000000000000001,0.24999999999998287,0.24999999999998287,0.5000000000000001,0.2500000000000171,0.25000000000084854,0.5000000000000001,0.24999999999915143,0.24999999999915143,0.5000000000000001,0.25000000000084854,8.393281281136901e-52,1.4405885887111534e-24,1.0,1.0,1.4405885887111534e-24,8.393281281136901e-52
0.0013424999999999874,0.25000000000001776,0.5000000000000001,0.2499999999999822,0.2499999999999822,0.5000000000000001,0.25000000000001776,0.2500000000009033,0.5000000000000001,0.2499999999990967,0.2499999999990967,0.5000000000000001,0.2500000000009033,1.0326032634115008e-51,1.6325193352830008e-24,1.0,1.0,1.6325193352830008e-24,1.0326032634115008e-51,0.25000000000001776,0.5000000000000001,0.2499999999999822,0.2499999999999822,0.5000000000000001,0.25000000000001776,0.2500000000009033,0.5000000000000001,0.2499999999990967,0.2499999999990967,0.5000000000000001,0.2500000000009033,1.0326032634115008e-51,1.6325193352830008e-24,1.0,1.0,1.6325193352830008e-24,1.0326032634115008e-51,0.25000000000001776,0.5000000000000001,0.2499999999999822,0.2499999999999822,0.5000000000000001,0.25000000000001776,0.2500000000009033,0.5000000000000001,0.2499999999990967,0.2499999999990967,0.5000000000000001,0.2500000000009033,1.0326032634115008e-51,1.6325193352830008e-24,1.0,1.0,1.6325193352830008e-24,1.0326032634115008e-51
