time_s,x_m,vx_m_per_s,Fx_n,effective_field_proxy_x_t,quantization_axis_x,y_m,vy_m_per_s,Fy_n,effective_field_proxy_y_t,quantization_axis_y,z_m,vz_m_per_s,Fz_n,effective_field_proxy_z_t,quantization_axis_z,radius_m,speed_m_per_s,total_780_scattering_rate_per_s,reference_vector_shift_hz,applied_reference_transition_shift_hz,total_trapping_intensity_w_per_m2,cooling_x_incident_absorption_rate_per_s,cooling_x_retro_absorption_rate_per_s,cooling_y_incident_absorption_rate_per_s,cooling_y_retro_absorption_rate_per_s,cooling_z_incident_absorption_rate_per_s,cooling_z_retro_absorption_rate_per_s,repump_x_incident_absorption_rate_per_s,repump_x_retro_absorption_rate_per_s,repump_y_incident_absorption_rate_per_s,repump_y_retro_absorption_rate_per_s,repump_z_incident_absorption_rate_per_s,repump_z_retro_absorption_rate_per_s,effective_field_proxy_magnitude_t
0.004422499999999862,-0.014904278567281812,-4.199051531965933,1.027625286198032e-31,6.350807771971531e-20,5.15992165562651e-09,-0.020113977109105657,-5.634679132934239,3.68810410869729e-27,1.2307953871831462e-11,1.0,0.01037416396680945,-0.0038525891352427185,2.5340158477261145e-37,2.952608498909434e-32,2.3989434228112497e-21,0.02709857695095833,7.027208374715599,4.448952518863376,0.17226245585072786,0.17226245595627637,0.0001266706127793849,0.00015918711876122634,3.82182948372553e-05,4.394318295232627,0.053162123897368636,2.363502439756588e-07,2.3605194756345047e-07,1.2209932265052632e-07,1.2212793903773663e-07,0.0008186528734310499,0.00045532136625164963,1.7253227647220692e-09,1.7253228538434032e-09,1.2307953871831462e-11
0.004424999999999862,-0.014914776196111722,-4.1990515319641535,9.991437415150333e-32,6.287701857369572e-20,5.114436981000183e-09,-0.020128063806778267,-5.6346790690448945,3.631321539869572e-27,1.229402548262496e-11,1.0,0.01037415427404505,-0.0038771057602427143,2.441238199289205e-37,2.7003147937361624e-32,2.196444767055749e-21,0.02711480367790859,7.027208336969399,4.380453129964706,0.17206751373803048,0.17206751384345956,0.00012652726501291065,0.00015477510686098461,3.715904099982643e-05,4.326662633148484,0.0523435110791554,2.2625786135498702e-07,2.259704864370882e-07,1.1871516824896408e-07,1.1874299149749779e-07,0.0008060476841791012,0.0004483109152348749,1.651642244160733e-09,1.6516423300193793e-09,1.229402548262496e-11
0.004427499999999862,-0.014925273824941628,-4.199051531962422,9.71432527249873e-32,6.225230967199603e-20,5.0693732328870555e-09,-0.020142150504293615,-5.6346790061392,3.5753743257432745e-27,1.2280080162206318e-11,1.0,0.010374144519989087,-0.00390162238524271,2.351691367220135e-37,2.469423027393015e-32,2.010917677062902e-21,0.02713103205203818,7.027208300097489,4.3129615422230865,0.17187233465562923,0.17187233476093874,0.0001263837429893937,0.00015048242510801884,3.612843643024097e-05,4.260002288230084,0.05153694462396621,2.165898019372179e-07,2.1631296819204066e-07,1.1542254634382719e-07,1.1544959790590976e-07,0.000793627965445912,0.0004414036050183186,1.5810598782150503e-09,1.5810599609246156e-09,1.2280080162206318e-11
0.004429999999999862,-0.01493577145377153,-4.19905153196074,9.444713506692038e-32,6.163388676907114e-20,5.024726341924084e-09,-0.02015623720165412,-5.634678944202683,3.5202508036429354e-27,1.2266118107731633e-11,1.0,0.01037413470464156,-0.003926139010242706,2.265270389183012e-37,2.2581311329707525e-32,1.84095009777168e-21,0.027147262070394695,7.027208264088267,4.246463683336817,0.17167692136292628,0.17167692146811603,0.0001262400487479194,0.00014630593000085104,3.51257264239105e-05,4.194323364419633,0.05074225625662458,2.0732851361515897e-07,2.0706185307695297e-07,1.122190456126641e-07,1.1224534637538679e-07,0.0007813911270332179,0.0004345979954493668,1.5134474969922857e-09,1.513447576662686e-09,1.2266118107731633e-11
0.004432499999999862,-0.014946269082601427,-4.199051531959104,9.182404385156704e-32,6.102168626701824e-20,4.98049227908641e-09,-0.020170323898862173,-5.634678883221077,3.465939463968023e-27,1.225213951706229e-11,1.0,0.010374124828002472,-0.003950655635242702,2.181873361007302e-37,2.0647876283049052e-32,1.6852465852429191e-21,0.027163493730032504,7.027208228930289,4.180945665760509,0.17148127662919488,0.17148127673426472,0.00012609618431982722,0.00014224255850885315,3.415017559601284e-05,4.1296121480502785,0.049959279913045905,1.98457157983488e-07,1.9820031468234284e-07,1.0910231646401491e-07,1.0912788676380257e-07,0.0007693346127592265,0.00042789266528149334,1.4486821428792648e-09,1.4486822196168336e-09,1.225213951706229e-11
0.004434999999999862,-0.014956766711431322,-4.1990515319575135,8.927205241206126e-32,6.04156452091466e-20,4.93666705606689e-09,-0.020184410595920122,-5.63467882318031,3.4124289483302246e-27,1.2238144586821815e-11,1.0,0.010374114890071822,-0.003975172260242699,2.1014013648157013e-37,1.887879130671657e-32,1.542618750153147e-21,0.027179727028012673,7.027208194612273,4.116393784455428,0.1712854032063832,0.17128540331133307,0.00012595215172872038,0.0001382893260759049,3.32010674022021e-05,4.065855105626611,0.04918785171326788,1.8995958183908312e-07,1.897122114493912e-07,1.0607006950585526e-07,1.0609492914257508e-07,0.0007574559000441941,0.0004212862119440852,1.3866458623769384e-09,1.3866459362845306e-09,1.2238144586821815e-11
0.004437499999999862,-0.01496726434026121,-4.199051531955967,8.678928348255557e-32,5.981570127361557e-20,4.89324672455501e-09,-0.020198497292830287,-5.634678764066511,3.359708047710929e-27,1.2224133513123677e-11,1.0,0.01037410489084961,-0.0039996888852426955,2.0237583979224046e-37,1.7260188980526618e-32,1.4119764776780533e-21,0.027195961961402965,7.027208161123095,4.052794514664255,0.17108930383930068,0.17108930394413038,0.0001258079529904653,0.0001344433246718854,3.227770367080305e-05,4.003038881629205,0.04842780993477454,1.81820289797796e-07,1.8158205929508536e-07,1.0312007405075894e-07,1.031442423014789e-07,0.0007457524995005437,0.0004147772513148474,1.3272255060904663e-09,1.3272255772675624e-09,1.2224133513123677e-11
0.004439999999999862,-0.014977761969091096,-4.1990515319544635,8.437390797054033e-32,5.922179276713136e-20,4.850227376206946e-09,-0.02021258398959495,-5.6346787058659995,3.307765700639256e-27,1.2210106490604355e-11,1.0,0.010374094830335833,-0.004024205510242692,1.948851302534529e-37,1.577936314287994e-32,1.2923198626500201e-21,0.027212198527277843,7.027208128451786,3.990134509710706,0.1708929812520848,0.1708929813567942,0.0001256635901131926,0.00013070172089090095,3.137940414622609e-05,3.94115029634367,0.04767899498611922,1.7402441798472964e-07,1.7379500531077201e-07,1.0025015665690166e-07,1.0027365228930704e-07,0.0007342219545275556,0.0004083644174946922,1.2703125365615867e-09,1.2703126051043905e-09,1.2210106490604355e-11
0.0044424999999998615,-0.014988259597920979,-4.1990515319530015,8.202414375863103e-32,5.86338586187014e-20,4.807605141648791e-09,-0.020226670686216364,-5.63467864856529,3.256590991390142e-27,1.2196063713874938e-11,1.0,0.010374084708530495,-0.004048722135242689,1.87658969632842e-37,1.4424672399244168e-32,1.1827318008214272e-21,0.027228436722718418,7.02720809658753,3.928400598823409,0.17069643816851757,0.17069643827310657,0.00012551906509730368,0.00012706175409516097,3.0505506043341447e-05,3.8801763437135772,0.04694124938083975,1.6655770875689475e-07,1.6633680249298605e-07,9.745819970409327e-08,9.748104098956939e-08,0.0007228618409105076,0.00040204636258511713,1.2158028436425127e-09,1.2158029096440506e-09,1.2196063713874938e-11
0.004444999999999861,-0.014998757226750857,-4.19905153195158,7.973825453515123e-32,5.805183837345377e-20,4.76537619045745e-09,-0.02024075738269674,-5.634678592151086,3.2061731482025867e-27,1.2182005376553727e-11,1.0,0.010374074525433595,-0.0040732387602426855,1.8068859039227984e-37,1.3185451584015675e-32,1.082371184090367e-21,0.027244676544812454,7.027208065519666,3.8675797849841462,0.170499677298486,0.17049967740295444,0.00012537437993547266,0.00012352073460346065,2.965536361256303e-05,3.8201041892174206,0.04621441771166697,1.5940648641846104e-07,1.591937854667686e-07,9.474214000404271e-08,9.476434473043205e-08,0.0007116697664243689,0.00039582175646809463,1.1635965671209328e-09,1.1635966306711482e-09,1.2182005376553727e-11
