point_index,deterministic_evaluation_count,detuning_n,detuning_hz,detuning_mhz,linewidth_hz,cooling_power_w_per_beam,cooling_beam_diameter_m,restoring_slope_x_n_per_m,restoring_slope_x_coarse_n_per_m,restoring_slope_x_relative_change,restoring_slope_x_numerical_uncertainty_n_per_m,restoring_slope_x_converged,turnaround_velocity_x_m_per_s,turnaround_velocity_x_coarse_m_per_s,turnaround_velocity_x_absolute_change_m_per_s,turnaround_velocity_x_numerical_uncertainty_m_per_s,turnaround_force_x_n,turnaround_x_interior,turnaround_x_converged,restoring_slope_y_n_per_m,restoring_slope_y_coarse_n_per_m,restoring_slope_y_relative_change,restoring_slope_y_numerical_uncertainty_n_per_m,restoring_slope_y_converged,turnaround_velocity_y_m_per_s,turnaround_velocity_y_coarse_m_per_s,turnaround_velocity_y_absolute_change_m_per_s,turnaround_velocity_y_numerical_uncertainty_m_per_s,turnaround_force_y_n,turnaround_y_interior,turnaround_y_converged,restoring_slope_z_n_per_m,restoring_slope_z_coarse_n_per_m,restoring_slope_z_relative_change,restoring_slope_z_numerical_uncertainty_n_per_m,restoring_slope_z_converged,turnaround_velocity_z_m_per_s,turnaround_velocity_z_coarse_m_per_s,turnaround_velocity_z_absolute_change_m_per_s,turnaround_velocity_z_numerical_uncertainty_m_per_s,turnaround_force_z_n,turnaround_z_interior,turnaround_z_converged,all_converged,point_wall_time_s
10,1,-1.0,-6065000.0,-6.065,6065000.0,0.027,0.0127,-4.851462595276599e-21,-4.853788128016131e-21,0.0004793467318074146,2.3255327395317554e-24,True,17.39931185349811,17.399658533276458,0.00034667977834956787,0.00034667977834956787,-8.754224746434107e-23,True,True,-4.851462595276599e-21,-4.853788128016131e-21,0.0004793467318074146,2.3255327395317554e-24,True,17.39931185349811,17.399658533276458,0.00034667977834956787,0.00034667977834956787,-8.754224746434107e-23,True,True,-9.702850384053436e-21,-9.707276848837342e-21,0.000456202518713568,4.426464783906088e-24,True,17.39931185349811,17.399658533276458,0.00034667977834956787,0.00034667977834956787,-8.754224746434107e-23,True,True,True,0.07941309997113422
11,1,-1.05,-6368250.0,-6.36825,6065000.0,0.027,0.0127,-5.0677397502128675e-21,-5.0701628522720805e-21,0.00047814256032212787,2.423102059213001e-24,True,17.443937032060962,17.44481941290727,0.0008823808463063187,0.0008823808463063187,-9.174233675355013e-23,True,True,-5.0677397502128675e-21,-5.0701628522720805e-21,0.00047814256032212787,2.423102059213001e-24,True,17.443937032060962,17.44481941290727,0.0008823808463063187,0.0008823808463063187,-9.174233675355013e-23,True,True,-1.013540174173962e-20,-1.014001448225851e-20,0.000455111759398129,4.612740518889979e-24,True,17.443937032060962,17.44481941290727,0.0008823808463063187,0.0008823808463063187,-9.174233675355013e-23,True,True,True,0.07769829995231703
12,1,-1.1,-6671500.000000001,-6.671500000000001,6065000.0,0.027,0.0127,-5.28039725690105e-21,-5.282915405372843e-21,0.00047688617906574936,2.5181484717928058e-24,True,17.491027402608097,17.491900743455084,0.0008733408469865367,0.0008733408469865367,-9.591756047847365e-23,True,True,-5.28039725690105e-21,-5.282915405372843e-21,0.00047688617906574936,2.5181484717928058e-24,True,17.491027402608097,17.491900743455084,0.0008733408469865367,0.0008733408469865367,-9.591756047847365e-23,True,True,-1.0560713906613875e-20,-1.0565508188479144e-20,0.0004539732737449566,4.7942818652693905e-24,True,17.491027402608097,17.491900743455084,0.0008733408469865367,0.0008733408469865367,-9.591756047847365e-23,True,True,True,0.07919920003041625
13,1,-1.15,-6974749.999999999,-6.974749999999999,6065000.0,0.027,0.0127,-5.489314345679727e-21,-5.4919249453716185e-21,0.0004755784652679595,2.6105996918917577e-24,True,17.540006882393055,17.540870906114073,0.0008640237210180146,0.0008640237210180146,-1.0006695608040813e-22,True,True,-5.489314345679727e-21,-5.4919249453716185e-21,0.0004755784652679595,2.6105996918917577e-24,True,17.540006882393055,17.540870906114073,0.0008640237210180146,0.0008640237210180146,-1.0006695608040813e-22,True,True,-1.0978545341753252e-20,-1.0983516293157716e-20,0.00045278780109043364,4.970951404464079e-24,True,17.540006882393055,17.540870906114073,0.0008640237210180146,0.0008640237210180146,-1.0006695608040813e-22,True,True,True,0.07933199999388307
14,1,-1.2,-7278000.0,-7.278,6065000.0,0.027,0.0127,-5.694376574014034e-21,-5.697076963114047e-21,0.000474220323316215,2.700389100013216e-24,True,17.591237133125222,17.591698612487818,0.00046147936259544053,0.00046147936259544053,-1.0418958482779745e-22,True,True,-5.694376574014034e-21,-5.697076963114047e-21,0.000474220323316215,2.700389100013216e-24,True,17.591237133125222,17.591698612487818,0.00046147936259544053,0.00046147936259544053,-1.0418958482779745e-22,True,True,-1.1388667164176643e-20,-1.139380978636913e-20,0.0004515561055875235,5.14262219248811e-24,True,17.591237133125222,17.591698612487818,0.00046147936259544053,0.00046147936259544053,-1.0418958482779745e-22,True,True,True,0.07932160003110766
15,1,-1.25,-7581250.0,-7.58125,6065000.0,0.027,0.0127,-5.89547593380231e-21,-5.898263389601747e-21,0.0004728126839522958,2.7874557994372378e-24,True,17.644618016199615,17.644891024463252,0.0002730082636368536,0.0002730082636368536,-1.0828459024619431e-22,True,True,-5.89547593380231e-21,-5.898263389601747e-21,0.0004728126839522958,2.7874557994372378e-24,True,17.644618016199615,17.644891024463252,0.0002730082636368536,0.0002730082636368536,-1.0828459024619431e-22,True,True,-1.179086335948346e-20,-1.1796172537351556e-20,0.0004502789750188341,5.309177868095339e-24,True,17.644618016199615,17.644891024463252,0.0002730082636368536,0.0002730082636368536,-1.0828459024619431e-22,True,True,True,0.0787885999889113
16,1,-1.3,-7884500.0,-7.8845,6065000.0,0.027,0.0127,-6.092510939788318e-21,-6.095382684448267e-21,0.000471356504457708,2.871744659948967e-24,True,17.699970719374203,17.700829762725544,0.0008590433513404605,0.0008590433513404605,-1.1235107831144497e-22,True,True,-6.092510939788318e-21,-6.095382684448267e-21,0.000471356504457708,2.871744659948967e-24,True,17.699970719374203,17.700829762725544,0.0008590433513404605,0.0008590433513404605,-1.1235107831144497e-22,True,True,-1.2184930958688433e-20,-1.2190401471410805e-20,0.00044895721944743157,5.470512722371686e-24,True,17.699970719374203,17.700829762725544,0.0008590433513404605,0.0008590433513404605,-1.1235107831144497e-22,True,True,True,0.07891570002539083
17,1,-1.35,-8187750.000000001,-8.187750000000001,6065000.0,0.027,0.0127,-6.285386699220099e-21,-6.288339905536527e-21,0.0004698527644758087,2.9532063164280417e-24,True,17.757695793457295,17.758544099729498,0.0008483062722035584,0.0008483062722035584,-1.1638825598617934e-22,True,True,-6.285386699220099e-21,-6.288339905536527e-21,0.0004698527644758087,2.9532063164280417e-24,True,17.757695793457295,17.758544099729498,0.0008483062722035584,0.0008483062722035584,-1.1638825598617934e-22,True,True,-1.25706801775111e-20,-1.2576306709244625e-20,0.00044759166998704626,5.626531733525253e-24,True,17.757695793457295,17.758544099729498,0.0008483062722035584,0.0008483062722035584,-1.1638825598617934e-22,True,True,True,0.07810839999001473
18,1,-1.4,-8491000.0,-8.491,6065000.0,0.027,0.0127,-6.474014962920972e-21,-6.477046760102516e-21,0.00046830246746541894,3.031797181543934e-24,True,17.817227315051802,17.818001311272155,0.0007739962203530126,0.0007739962203530126,-1.203952935032356e-22,True,True,-6.474014962920972e-21,-6.477046760102516e-21,0.00046830246746541894,3.031797181543934e-24,True,17.817227315051802,17.818001311272155,0.0007739962203530126,0.0007739962203530126,-1.203952935032356e-22,True,True,-1.2947934518560122e-20,-1.2953711669130303e-20,0.0004461831778574611,5.7771505701814705e-24,True,17.817227315051802,17.818001311272155,0.0007739962203530126,0.0007739962203530126,-1.203952935032356e-22,True,True,True,0.07798619999084622
19,1,-1.45,-8794250.0,-8.79425,6065000.0,0.027,0.0127,-6.658314158124381e-21,-6.661421637528289e-21,0.0004667066362611693,3.107479403908349e-24,True,17.879225708500645,17.879283245353832,5.7536853187656334e-05,5.7536853187656334e-05,-1.2437146146149486e-22,True,True,-6.658314158124381e-21,-6.661421637528289e-21,0.0004667066362611693,3.107479403908349e-24,True,17.879225708500645,17.879283245353832,5.7536853187656334e-05,5.7536853187656334e-05,-1.2437146146149486e-22,True,True,-1.3316530836971947e-20,-1.3322453132528062e-20,0.0004447326130670517,5.922295556114507e-24,True,17.879225708500645,17.879283245353832,5.7536853187656334e-05,5.7536853187656334e-05,-1.2437146146149486e-22,True,True,True,0.07909950002795085
