coordinate_m,force_x_n,reference_shift_x_hz,force_y_n,reference_shift_y_hz,force_z_n,reference_shift_z_hz
-0.00014999999999999996,-7.70290560639894e-23,-15765539.154568408,-7.702905606398864e-23,-15765539.154568408,-7.70290560639894e-23,-15765539.154568408
-0.00010000000000000005,-5.292841942351455e-23,-15991053.54219574,-5.2928419423513797e-23,-15991053.54219574,-5.292841942351229e-23,-15991053.542195735
-4.9999999999999914e-05,-2.6935068209322653e-23,-16182531.707467524,-2.6935068209322653e-23,-16182531.707467524,-2.693506820932491e-23,-16182531.707467528
0.0,0.0,-16339691.429122163,0.0,-16339691.429122163,-1.503898085083264e-36,-16339691.429122163
5.000000000000013e-05,2.6935068209322653e-23,-16182531.707467524,2.693506820932416e-23,-16182531.707467524,2.693506820932491e-23,-16182531.707467528
0.00010000000000000026,5.29284194235153e-23,-15991053.542195735,5.2928419423513797e-23,-15991053.542195735,5.292841942351455e-23,-15991053.54219573
0.00014999999999999996,7.70290560639894e-23,-15765539.154568408,7.702905606398864e-23,-15765539.154568408,7.70290560639894e-23,-15765539.154568408
0.0002000000000000001,9.82693398696223e-23,-15506483.086473601,9.826933986962303e-23,-15506483.0864736,9.826933986962154e-23,-15506483.0864736
0.0002500000000000002,1.1566142533623317e-22,-15214586.554038333,1.1566142533623317e-22,-15214586.554038333,1.1566142533623317e-22,-15214586.554038333
0.0002999999999999999,1.2819923957741452e-22,-14890749.670710858,1.2819923957741452e-22,-14890749.670710858,1.2819923957741603e-22,-14890749.670710852
0.00035000000000000005,1.348675220101408e-22,-14536061.652656564,1.348675220101408e-22,-14536061.652656564,1.3486752201014382e-22,-14536061.652656566
0.0004000000000000002,1.3465901981629424e-22,-14151789.147897488,1.3465901981629424e-22,-14151789.147897488,1.3465901981629424e-22,-14151789.147897488
0.0004499999999999999,1.2660028474789474e-22,-13739362.856578099,1.2660028474789474e-22,-13739362.856578099,1.2660028474789622e-22,-13739362.856578099
0.0005,1.0978560562317425e-22,-13300362.632598711,1.097856056231735e-22,-13300362.63259871,1.097856056231735e-22,-13300362.632598706
0.0005500000000000001,8.34174670068623e-23,-12836501.276231408,8.341746700686154e-23,-12836501.276231406,8.341746700686304e-23,-12836501.276231406
0.0006000000000000003,4.685066020871595e-23,-12349607.242911693,4.68506602087167e-23,-12349607.242911693,4.6850660208718206e-23,-12349607.242911693
