Wavelength (nm),Differential Scalar Polarizability,Differential Vector Polarizability,Differential Tensor Polarizability
1529.1247250102986,-2.9159172730800605e-34,-1.9107838711227356e-34,1.0410039332023466e-35
1529.1247300103694,-2.915984764703395e-34,-1.9108186859817291e-34,1.0409652725137358e-35
1529.1247350104404,-2.916052259646063e-34,-1.9108535019500306e-34,1.0409266058607219e-35
1529.1247400105117,-2.9161197579083262e-34,-1.910888319027674e-34,1.0408879332424614e-35
1529.1247450105825,-2.916187259490449e-34,-1.9109231372146931e-34,1.0408492546581037e-35
1529.1247500106535,-2.9162547643926957e-34,-1.9109579565111208e-34,1.0408105701068137e-35
1529.1247550107246,-2.9163222726115003e-34,-1.9109927769150147e-34,1.0407718795899313e-35
1529.1247600107956,-2.9163897841528713e-34,-1.9110275984293713e-34,1.0407331831033269e-35
1529.124765010867,-2.9164572990170705e-34,-1.911062421054224e-34,1.0406944806461485e-35
1529.1247700109377,-2.916524817192876e-34,-1.91109724478368e-34,1.0406557722241461e-35
1529.1247750110088,-2.9165923386977845e-34,-1.9111320696266627e-34,1.0406170578265873e-35
1529.1247800110798,-2.9166598635205685e-34,-1.9111668955772776e-34,1.0405783374592189e-35
1529.1247850111508,-2.916727391665324e-34,-1.9112017226375346e-34,1.0405396111189967e-35
1529.124790011222,-2.916794923130399e-34,-1.9112365508064784e-34,1.0405008788061725e-35
1529.1247950112927,-2.916862457916059e-34,-1.9112713800841434e-34,1.0404621405199035e-35
1529.1248000113635,-2.9169299960263964e-34,-1.911306210472538e-34,1.0404233962571453e-35
1529.1248050114348,-2.916997537461677e-34,-1.9113410419716954e-34,1.0403846460170512e-35
1529.1248100115058,-2.917065082218333e-34,-1.9113758745796735e-34,1.0403458898009707e-35
1529.1248150115769,-2.9171326302947137e-34,-1.9114107082955175e-34,1.0403071276091648e-35
1529.124820011648,-2.917200181694914e-34,-1.9114455431212364e-34,1.0402683594385795e-35
1529.124825011719,-2.9172677364172823e-34,-1.9114803790558754e-34,1.0402295852894744e-35
1529.12483001179,-2.917335294465915e-34,-1.9115152161014448e-34,1.0401908051587963e-35
1529.124835011861,-2.917402855837244e-34,-1.9115500542560004e-34,1.0401520190479079e-35
1529.124840011932,-2.9174704205353675e-34,-1.9115848935215521e-34,1.0401132269537524e-35
1529.124845012003,-2.917537988556716e-34,-1.9116197338961572e-34,1.0400744288776908e-35
1529.124850012074,-2.9176055599034702e-34,-1.9116545753808383e-34,1.0400356248177652e-35
1529.1248550121452,-2.917673134575894e-34,-1.911689417975627e-34,1.0399968147731411e-35
1529.124860012216,-2.9177407125665867e-34,-1.911724261676605e-34,1.0399579987473643e-35
1529.124865012287,-2.917808293885394e-34,-1.9117591064887445e-34,1.0399191767340925e-35
1529.124870012358,-2.9178758785364164e-34,-1.9117939524140576e-34,1.03988034873026e-35
1529.1248750124291,-2.9179434665084164e-34,-1.9118287994466477e-34,1.0398415147416422e-35
1529.1248800125002,-2.9180110578093273e-34,-1.9118636475905e-34,1.039802674762978e-35
1529.1248850125712,-2.9180786524355783e-34,-1.9118984968436724e-34,1.0397638287956233e-35
1529.1248900126425,-2.9181462503893504e-34,-1.9119333472071855e-34,1.0397249768376278e-35
1529.1248950127133,-2.918213851670911e-34,-1.9119681986810728e-34,1.0396861188881398e-35
1529.1249000127843,-2.918281456274769e-34,-1.9120030512624033e-34,1.0396472549496238e-35
1529.1249050128554,-2.9183490642126966e-34,-1.9120379049571402e-34,1.039608385014613e-35
1529.1249100129264,-2.918416675473453e-34,-1.9120727597593854e-34,1.0395695090888748e-35
1529.1249150129977,-2.9184842900630557e-34,-1.9121076156721386e-34,1.0395306271682505e-35
1529.1249200130685,-2.9185519079836854e-34,-1.9121424726964201e-34,1.0394917392507918e-35
1529.124925013139,-2.918619529231774e-34,-1.9121773308302876e-34,1.0394528453378496e-35
1529.1249300132104,-2.9186871538095024e-34,-1.912212190074763e-34,1.0394139454274777e-35
1529.1249350132814,-2.9187547817152175e-34,-1.91224705042889e-34,1.0393750395199245e-35
1529.1249400133524,-2.9188224129530226e-34,-1.9122819118946794e-34,1.0393361276121339e-35
1529.1249450134237,-2.9188900475212627e-34,-1.912316774471176e-34,1.0392972097043611e-35
1529.1249500134943,-2.918957685414448e-34,-1.9123516381554467e-34,1.0392582857990675e-35
1529.1249550135656,-2.9190253266424355e-34,-1.9123865029524688e-34,1.039219355889886e-35
1529.1249600136366,-2.9190929711978163e-34,-1.91242136885832e-34,1.0391804199803765e-35
1529.1249650137077,-2.9191606190846923e-34,-1.9124562358750108e-34,1.039141478067486e-35
1529.1249700137787,-2.9192282703033294e-34,-1.912491104002575e-34,1.0391025301503589e-35
1529.1249750138495,-2.9192959248539925e-34,-1.9125259732410465e-34,1.0390635762281472e-35
1529.1249800139208,-2.9193635827350268e-34,-1.9125608435894682e-34,1.0390246163011055e-35
1529.1249850139916,-2.9194312439505373e-34,-1.9125957150498525e-34,1.0389856503661735e-35
1529.1249900140626,-2.919498908493111e-34,-1.9126305876182759e-34,1.0389466784269137e-35
1529.1249950141337,-2.9195665763726113e-34,-1.9126654612997168e-34,1.038907700476957e-35
1529.1250000142047,-2.9196342475854635e-34,-1.9127003360922298e-34,1.0388687165176596e-35
1529.1250050142758,-2.9197019221280935e-34,-1.9127352119938716e-34,1.0388297265503796e-35
1529.1250100143468,-2.9197696000046075e-34,-1.9127700890066522e-34,1.038790730572054e-35
