Wavelength (nm),Differential Scalar Polarizability,Differential Vector Polarizability,Differential Tensor Polarizability
601.0000083334028,1.7871077545349782e-38,-1.4154041479046602e-38,1.3591370446722201e-39
601.0100084167368,1.7868256399654164e-38,-1.4154811243474744e-38,1.3610781304396102e-39
601.0200085000708,1.7865432581872992e-38,-1.4155578212114394e-38,1.3630215231018342e-39
601.0300085834049,1.7862606084896114e-38,-1.4156342379660446e-38,1.3649672276387834e-39
601.0400086667389,1.7859776901599926e-38,-1.4157103740790004e-38,1.366915249042815e-39
601.050008750073,1.7856945024847353e-38,-1.4157862290162385e-38,1.3688655923188392e-39
601.060008833407,1.7854110447487838e-38,-1.4158618022418995e-38,1.3708182624842634e-39
601.070008916741,1.785127316235717e-38,-1.4159370932183376e-38,1.372773264569162e-39
601.080009000075,1.7848433162277552e-38,-1.4160121014061024e-38,1.3747306036162354e-39
601.090009083409,1.7845590440057715e-38,-1.4160868262639421e-38,1.3766902846807595e-39
601.100009166743,1.7842744988492293e-38,-1.416161267248796e-38,1.3786523128309493e-39
601.110009250077,1.7839896800362496e-38,-1.4162354238157827e-38,1.380616693147621e-39
601.1200093334111,1.7837045868435535e-38,-1.4163092954182034e-38,1.3825834307244956e-39
601.1300094167451,1.7834192185464842e-38,-1.416382881507529e-38,1.3845525306681088e-39
601.1400095000791,1.7831335744189982e-38,-1.4164561815333962e-38,1.3865239980978837e-39
601.1500095834132,1.7828476537336395e-38,-1.416529194943603e-38,1.3884978381462834e-39
601.1600096667472,1.7825614557615725e-38,-1.4166019211840983e-38,1.3904740559586397e-39
601.1700097500812,1.7822749797725438e-38,-1.4166743596989834e-38,1.3924526566933831e-39
601.1800098334153,1.781988225034894e-38,-1.4167465099304964e-38,1.3944336455220127e-39
601.1900099167493,1.7817011908155395e-38,-1.4168183713190147e-38,1.3964170276291816e-39
601.2000100000834,1.7814138763799947e-38,-1.4168899433030433e-38,1.3984028082126134e-39
601.2100100834174,1.7811262809923335e-38,-1.4169612253192112e-38,1.4003909924833326e-39
601.2200101667514,1.7808384039152024e-38,-1.4170322168022646e-38,1.402381585665592e-39
601.2300102500855,1.7805502444098173e-38,-1.4171029171850593e-38,1.4043745929969352e-39
601.2400103334195,1.7802618017359484e-38,-1.4171733258985577e-38,1.406370019728271e-39
601.2500104167535,1.779973075151926e-38,-1.4172434423718192e-38,1.4083678711238598e-39
601.2600105000874,1.779684063914629e-38,-1.4173132660319942e-38,1.4103681524614304e-39
601.2700105834215,1.7793947672794727e-38,-1.4173827963043241e-38,1.4123708690322166e-39
601.2800106667555,1.779105184500422e-38,-1.417452032612122e-38,1.414376026140921e-39
601.2900107500896,1.778815314829969e-38,-1.41752097437678e-38,1.4163836291058786e-39
601.3000108334236,1.7785251575191357e-38,-1.4175896210177555e-38,1.4183936832590178e-39
