Wavelength (nm),Differential Scalar Polarizability,Differential Vector Polarizability,Differential Tensor Polarizability
1529.1244800068182,-2.741592924999688e-34,-1.797353918462057e-34,9.849922855213078e-36
1529.1244850068892,-2.7416562954348386e-34,-1.797386649744509e-34,9.84956269920408e-36
1529.1244900069603,-2.7417196689835127e-34,-1.7974193820712127e-34,9.849202487500406e-36
1529.124495007031,-2.741783045644158e-34,-1.797452115441272e-34,9.848842220104349e-36
1529.1245000071024,-2.741846425415226e-34,-1.79748484985379e-34,9.848481897018249e-36
1529.1245050071734,-2.741909808300557e-34,-1.797517585310655e-34,9.848121518213851e-36
1529.1245100072445,-2.741973194296805e-34,-1.7975503218100418e-34,9.847761083703629e-36
1529.1245150073155,-2.742036583406012e-34,-1.7975830593529095e-34,9.847400593469505e-36
1529.1245200073863,-2.7420999756284253e-34,-1.7976157979392914e-34,9.847040047503637e-36
1529.1245250074576,-2.7421633709606958e-34,-1.7976485375673606e-34,9.846679445818565e-36
1529.1245300075286,-2.742226769410264e-34,-1.797681278240863e-34,9.846318788365496e-36
1529.1245350075997,-2.7422901709683858e-34,-1.7977140199551874e-34,9.845958075187681e-36
1529.1245400076705,-2.7423535756389045e-34,-1.797746762712223e-34,9.845597306256784e-36
1529.1245450077415,-2.7424169834256615e-34,-1.7977795065138572e-34,9.845236481544487e-36
1529.1245500078126,-2.742480394327108e-34,-1.7978122513591948e-34,9.844875601053097e-36
1529.1245550078836,-2.742543808343491e-34,-1.7978449972482664e-34,9.844514664774713e-36
1529.1245600079546,-2.7426072254750566e-34,-1.7978777441811032e-34,9.844153672701468e-36
1529.1245650080257,-2.7426706457220533e-34,-1.7979104921577375e-34,9.843792624825438e-36
1529.1245700080967,-2.742734069084728e-34,-1.7979432411782004e-34,9.843431521138728e-36
1529.1245750081678,-2.7427974955579303e-34,-1.7979759912397365e-34,9.843070361664219e-36
1529.1245800082388,-2.7428609251509022e-34,-1.7980087423470223e-34,9.842709146342764e-36
1529.12458500831,-2.7429243578530984e-34,-1.7980414944945158e-34,9.842347875227935e-36
1529.124590008381,-2.7429877936809573e-34,-1.7980742476906086e-34,9.841986548219598e-36
1529.124595008452,-2.7430512326203313e-34,-1.7981070019279007e-34,9.841625165391863e-36
1529.124600008523,-2.7431146746750687e-34,-1.7981397572082813e-34,9.841263726716325e-36
1529.1246050085938,-2.7431781198454146e-34,-1.7981725135317825e-34,9.84090223218507e-36
1529.1246100086648,-2.7432415681370155e-34,-1.7982052709012225e-34,9.840540681759412e-36
1529.124615008736,-2.7433050195447227e-34,-1.7982380293138465e-34,9.840179075462256e-36
