x_mm,force_x_trapping_on_n,force_x_trapping_off_n,effective_field_x_trapping_on_g
-1.68,2.294762063121275e-21,3.626400072286757e-36,-3.558007420726033
-1.67,2.2799244827888688e-21,1.6530389308438418e-36,-3.534391574175836
-1.66,2.2651070649007513e-21,3.3163634372573786e-36,-3.5108218604516317
-1.65,2.2503097732349243e-21,-2.2731122009025985e-36,-3.4872979256940106
-1.6400000000000001,2.2355325684587056e-21,-2.1364609826195075e-36,-3.463819417587827
-1.63,2.2207754081843707e-21,1.0932097462647274e-36,-3.4403859853481764
-1.62,2.2060382470239284e-21,-6.45934145776847e-36,-3.416997279706513
-1.6099999999999999,2.191321036643059e-21,-1.5384282316386688e-36,-3.3936529528968165
-1.6,2.1766237258142964e-21,1.9689530376273316e-36,-3.370352658641889
-1.5899999999999999,2.161946260469413e-21,-6.7443988378428746e-37,-3.347096052139752
-1.58,2.1472885837509502e-21,3.053346576260892e-36,-3.3238827900501113
-1.57,2.1326506360630914e-21,4.1230464355091734e-36,-3.300712530480937
-1.56,2.1180323551217245e-21,-1.2151672851625397e-36,-3.27758493297511
-1.55,2.1034336760037307e-21,4.3743083529974374e-36,-3.254499658497229
-1.54,2.0888545311956873e-21,2.5552308450999475e-36,-3.2314563694203957
-1.53,2.0742948506417118e-21,-5.664413403024898e-36,-3.2084547295132104
-1.52,2.059754561790681e-21,1.4767147782204987e-36,-3.1854944039267665
-1.51,2.0452335896428176e-21,3.8409277913118244e-36,-3.1625750591817687
-1.5,2.030731856795508e-21,-2.8652674801293258e-36,-3.139696363155771
-1.49,2.0162492834885052e-21,-2.3598049092757422e-36,-3.1168579850704066
-1.48,2.001785787648581e-21,3.7894999134633494e-36,-3.0940595954788193
-1.47,1.9873412849333983e-21,-6.715011479072317e-37,-3.071300866253083
-1.46,1.9729156887748852e-21,1.295982521781572e-36,-3.048581470571767
-1.45,1.958508910421985e-21,-6.715011479072317e-37,-3.02590108290755
-1.44,1.9441208589827298e-21,3.4853407501880825e-36,-3.003259379014929
-1.43,1.9297514414659232e-21,3.091550142662616e-36,-2.9806560359180136
-1.42,1.9154005628220802e-21,-4.2567589179152086e-36,-2.958090731898361
-1.4100000000000001,1.9010681259838952e-21,1.9395656788567744e-36,-2.935563146482984
-1.4,1.8867540319061756e-21,3.0988969823552554e-36,-2.913072960432292
-1.3900000000000001,1.872458179605219e-21,-3.4530146555404696e-37,-2.890619855728262
-1.38,1.858180466197743e-21,-1.2901050500274605e-36,-2.8682035155625782
-1.37,1.843920786939207e-21,-1.1681475111296482e-36,-2.8458236243248947
-1.3599999999999999,1.829679035261738e-21,1.0858629065720881e-36,-2.823479867591161
-1.35,1.8154551028115086e-21,-8.801513951781878e-37,-2.801171932112012
-1.3399999999999999,1.8012488794856944e-21,1.985116084951138e-36,-2.7788995058012613
-1.33,1.787060253468935e-21,9.242324333340236e-37,-2.7566622777244345
-1.3199999999999998,1.7728891112694017e-21,1.263656427133959e-37,-2.73445993808738
-1.31,1.758735337754356e-21,1.4546742591425808e-36,-2.712292178224963
-1.2999999999999998,1.7445988161853424e-21,3.8203566401724344e-38,-2.690158690589828
-1.29,1.730479428252893e-21,-9.448035844734136e-37,-2.6680591687412045
-1.28,1.7163770541109296e-21,2.0571151139390031e-38,-2.645993307333823
-1.27,1.7022915724106836e-21,-2.2187455871770677e-36,-2.6239608021068688
-1.26,1.688222860334229e-21,2.0982574162177832e-36,-2.601961349872995
